overflow 1ms,,,
,over 400us,over 500us,over 1ms
428,0.149342,0.017936,0.00129
429,0.151783,0.019642,0.001151
430,0.150327,0.019614,0.001346
431,0.148399,0.017451,0.001346
432,0.152352,0.020128,0.001054
433,0.149467,0.018907,0.001512
434,0.148981,0.017825,0.001346
435,0.148551,0.016923,0.001373
436,0.154752,0.020738,0.001054
437,0.157415,0.022375,0.00154
438,0.148565,0.016202,0.00129
439,0.150424,0.018865,0.002733
440,0.154142,0.020835,0.000916
441,0.150521,0.018394,0.001387
442,0.154641,0.020447,0.003107
443,0.15109,0.01899,0.001332
444,0.149703,0.017645,0.001429
445,0.150937,0.018963,0.001526
446,0.150466,0.019004,0.001484
447,0.15102,0.019517,0.001304
448,0.153656,0.019379,0.000985
449,0.156985,0.022444,0.001068
450,0.150812,0.01942,0.001526
451,0.150299,0.018033,0.001262
452,0.15213,0.018019,0.002178
453,0.154655,0.020433,0.001457
454,0.155196,0.020599,0.001942
455,0.149619,0.017423,0.001373
456,0.153892,0.019573,0.001151
457,0.155917,0.021029,0.001346
458,0.153573,0.019642,0.003412
459,0.154183,0.020766,0.001609
460,0.153309,0.019975,0.001262
461,0.157096,0.021889,0.001193
462,0.155459,0.020835,0.001443
463,0.153143,0.019129,0.001637
464,0.153628,0.018949,0.001443
465,0.157707,0.022014,0.0019
466,0.15435,0.019961,0.001803
467,0.152588,0.018463,0.001595
468,0.159968,0.022944,0.001165
469,0.154419,0.019337,0.001359
470,0.154724,0.019684,0.00147
471,0.152671,0.018893,0.001013
472,0.156541,0.021432,0.000957
473,0.149286,0.016812,0.001457
474,0.153184,0.019295,0.002095
475,0.15256,0.018227,0.001457
476,0.156125,0.020475,0.001068
477,0.155113,0.020017,0.00308
478,0.159343,0.022791,0.001373
479,0.154988,0.020308,0.001415
480,0.152408,0.017797,0.001484
481,0.150105,0.016632,0.001359
482,0.151839,0.017229,0.001248
483,0.154766,0.020114,0.001401
484,0.156944,0.021293,0.002039
485,0.162992,0.024081,0.00129
486,0.153892,0.018935,0.001332
487,0.156833,0.020322,0.001235
488,0.156208,0.020918,0.001151
489,0.152907,0.018269,0.001387
490,0.153046,0.018366,0.00172
491,0.153212,0.017881,0.001068
492,0.151825,0.017936,0.001165
493,0.157928,0.021293,0.001651
494,0.154405,0.018532,0.001193
495,0.159551,0.022389,0.001401
496,0.156555,0.020086,0.001096
497,0.151922,0.018324,0.001318
498,0.155973,0.020308,0.001429
499,0.15779,0.020863,0.00129
500,0.156236,0.020905,0.00154
501,0.156652,0.019406,0.001567
502,0.154169,0.019143,0.001484
503,0.155473,0.019517,0.001637
504,0.159108,0.022014,0.001581
505,0.154585,0.019975,0.002053
506,0.152851,0.017367,0.001165
507,0.159316,0.021876,0.001262
508,0.149675,0.016715,0.001346
509,0.157249,0.020585,0.001678
510,0.164434,0.025413,0.00154
511,0.158275,0.021584,0.001332
512,0.157582,0.020877,0.001845
513,0.158775,0.021765,0.001318
514,0.158997,0.021265,0.001221
515,0.156319,0.020613,0.001332
516,0.15944,0.022333,0.001567
517,0.155584,0.019878,0.00215
518,0.155806,0.019323,0.001304
519,0.153323,0.018269,0.001193
520,0.154322,0.01924,0.001346
521,0.160661,0.022528,0.001248
522,0.158026,0.021973,0.001554
523,0.155862,0.018643,0.001054
524,0.157401,0.020183,0.001137
525,0.157263,0.020017,0.001359
526,0.160231,0.022056,0.001692
527,0.158913,0.020766,0.001262
528,0.157637,0.020932,0.001027
529,0.151728,0.017381,0.001415
530,0.156638,0.02071,0.001151
531,0.156971,0.020155,0.001554
532,0.155321,0.019517,0.001415
533,0.158705,0.021126,0.001942
534,0.156625,0.020364,0.001193
535,0.154211,0.017839,0.001429
536,0.163352,0.024164,0.001318
537,0.163352,0.02465,0.001304
538,0.153822,0.01856,0.000957
539,0.160675,0.022236,0.001165
540,0.156944,0.020696,0.001207
541,0.155626,0.019212,0.001262
542,0.157429,0.020932,0.001124
543,0.156708,0.020086,0.001179
544,0.160356,0.020918,0.001595
545,0.157457,0.019934,0.001526
546,0.161438,0.022569,0.001054
547,0.156236,0.01924,0.001831
548,0.160453,0.022458,0.001165
549,0.157179,0.020613,0.001692
550,0.159094,0.021792,0.000929
551,0.156333,0.019545,0.00111
552,0.154336,0.018865,0.001221
553,0.159968,0.02243,0.00111
554,0.157124,0.020433,0.001207
555,0.157956,0.021667,0.001193
556,0.15736,0.020932,0.000846
557,0.157304,0.020336,0.001387
558,0.157277,0.020918,0.001248
559,0.153032,0.018352,0.001526
560,0.153809,0.019115,0.001581
561,0.153781,0.018435,0.001873
562,0.155917,0.020475,0.001318
563,0.158733,0.021973,0.001498
564,0.158789,0.02268,0.001567
565,0.157942,0.021099,0.001137
566,0.156153,0.020821,0.001373
567,0.156458,0.019781,0.001984
568,0.157346,0.02071,0.002136
569,0.156472,0.020058,0.001609
570,0.152671,0.019018,0.001179
571,0.155376,0.02071,0.000971
572,0.152962,0.018227,0.00086
573,0.157249,0.020891,0.001512
574,0.154641,0.019046,0.00111
575,0.157041,0.020752,0.00111
576,0.155959,0.019934,0.001914
577,0.157845,0.021723,0.001221
578,0.155085,0.019309,0.001235
579,0.156625,0.020932,0.001054
580,0.160481,0.023249,0.001387
581,0.157457,0.019975,0.001096
582,0.161119,0.022791,0.001151
583,0.158442,0.020669,0.001304
584,0.15668,0.019198,0.001692
585,0.157859,0.019531,0.001692
586,0.156264,0.019004,0.001221
587,0.156985,0.018782,0.001706
588,0.159704,0.021182,0.001207
589,0.15625,0.018311,0.001984
590,0.15238,0.016951,0.001013
591,0.161591,0.022028,0.000999
592,0.157207,0.019309,0.001124
593,0.157748,0.020419,0.001346
594,0.158858,0.020946,0.000902
595,0.158761,0.019504,0.001512
596,0.158511,0.020155,0.001207
597,0.156541,0.019365,0.001346
598,0.160259,0.022014,0.001637
599,0.159302,0.020391,0.00154
600,0.157277,0.019892,0.001332
601,0.155667,0.018685,0.001318
602,0.163588,0.023762,0.001276
603,0.157277,0.020377,0.001124
604,0.158497,0.020627,0.001151
605,0.160398,0.021543,0.001443
606,0.159316,0.021002,0.001124
607,0.15686,0.018963,0.001318
608,0.160356,0.021224,0.001914
609,0.157956,0.019725,0.001193
610,0.158622,0.019809,0.001942
611,0.15994,0.020294,0.001512
612,0.15858,0.019795,0.001401
613,0.160384,0.020877,0.001151
614,0.160037,0.021029,0.00147
615,0.157748,0.018061,0.001706
616,0.16062,0.020308,0.001789
617,0.164767,0.023415,0.001318
618,0.158913,0.020322,0.001165
619,0.163963,0.02286,0.000957
620,0.156916,0.018033,0.00104
621,0.16234,0.022417,0.001235
622,0.158775,0.019934,0.001734
623,0.15736,0.019559,0.001332
624,0.162354,0.022111,0.0019
625,0.16467,0.023429,0.000999
626,0.160162,0.020683,0.001415
627,0.161868,0.021876,0.001165
628,0.158955,0.019545,0.000999
629,0.158636,0.019656,0.001346
630,0.157582,0.019712,0.001262
631,0.158317,0.019628,0.00172
632,0.159163,0.019809,0.001415
633,0.158039,0.019379,0.000943
634,0.164323,0.02372,0.001637
635,0.157193,0.018616,0.001359
636,0.15883,0.019725,0.000999
637,0.15797,0.019878,0.00129
638,0.163366,0.021598,0.001082
639,0.16191,0.02139,0.001429
640,0.15994,0.020364,0.000721
641,0.160786,0.020891,0.001082
642,0.16105,0.01992,0.001082
643,0.160301,0.020239,0.001207
644,0.162021,0.021057,0.000916
645,0.160231,0.020558,0.001692
646,0.166834,0.02422,0.001789
647,0.163269,0.021473,0.001401
648,0.159898,0.020072,0.001262
649,0.157318,0.017881,0.001567
650,0.164337,0.022,0.001873
651,0.165003,0.022638,0.00215
652,0.163976,0.022222,0.001998
653,0.162201,0.021432,0.001484
654,0.160467,0.019351,0.001082
655,0.16184,0.021404,0.001401
656,0.160384,0.019184,0.001443
657,0.158969,0.01942,0.001179
658,0.161549,0.021057,0.001581
659,0.162728,0.02114,0.001027
660,0.159538,0.020142,0.000985
661,0.167292,0.022666,0.001248
662,0.16983,0.024206,0.001248
663,0.165988,0.020544,0.001207
664,0.170288,0.023055,0.001346
665,0.161341,0.018255,0.001581
666,0.172161,0.024969,0.001748
667,0.166945,0.021362,0.001859
668,0.17223,0.025135,0.00172
669,0.170288,0.023304,0.001748
670,0.164781,0.020045,0.001457
671,0.17696,0.025704,0.00215
672,0.176752,0.023873,0.00197
673,0.173964,0.021792,0.001706
674,0.175379,0.023124,0.001623
675,0.171023,0.02028,0.001248
676,0.176752,0.023679,0.001401
677,0.181233,0.027882,0.001221
678,0.173007,0.021376,0.001609
679,0.177279,0.023582,0.001248
680,0.17954,0.026259,0.001484
681,0.173548,0.021778,0.001359
682,0.173562,0.020669,0.002469
683,0.177973,0.023332,0.001373
684,0.175213,0.021335,0.001373
685,0.174283,0.021251,0.00326
686,0.172313,0.019129,0.001332
687,0.181871,0.026772,0.001332
688,0.178195,0.023582,0.001484
689,0.18115,0.024567,0.001554
690,0.176253,0.021834,0.001554
691,0.177376,0.022583,0.00129
692,0.172646,0.020558,0.002691
693,0.183286,0.025552,0.001748
694,0.181538,0.023734,0.001637
695,0.178445,0.022458,0.001762
696,0.184076,0.024747,0.001373
697,0.180636,0.023804,0.001692
698,0.183369,0.024622,0.002178
699,0.183605,0.02336,0.001304
700,0.175989,0.021293,0.001984
701,0.180886,0.022874,0.001651
702,0.181205,0.024317,0.001609
703,0.18029,0.023499,0.00147
704,0.189459,0.029255,0.001248
705,0.182093,0.024317,0.00147
706,0.180276,0.023596,0.001526
707,0.184881,0.026523,0.001678
708,0.176572,0.022264,0.001637
709,0.18452,0.025274,0.002996
710,0.184715,0.025635,0.001651
711,0.177765,0.021085,0.00172
712,0.178805,0.022777,0.001873
713,0.182856,0.024789,0.00197
714,0.178389,0.021792,0.0019
715,0.180692,0.022805,0.001845
716,0.185866,0.026093,0.001526
717,0.180206,0.023707,0.002011
718,0.181788,0.023942,0.001484
719,0.180733,0.022569,0.001262
720,0.182939,0.024053,0.001665
721,0.179624,0.023152,0.001387
722,0.181441,0.02361,0.001595
723,0.181496,0.023485,0.001151
724,0.180192,0.023554,0.001734
725,0.176433,0.021418,0.001318
726,0.18545,0.027618,0.001651
727,0.176905,0.021487,0.001637
728,0.181247,0.02397,0.001609
729,0.179013,0.023207,0.001748
730,0.177807,0.021071,0.001359
731,0.185755,0.026786,0.001845
732,0.177279,0.020752,0.001873
733,0.175864,0.020585,0.001359
734,0.175199,0.021057,0.001387
735,0.18237,0.023998,0.001609
736,0.185325,0.024969,0.001845
737,0.178888,0.020821,0.001512
738,0.185283,0.025538,0.001401
739,0.182107,0.02268,0.002039
740,0.179457,0.022375,0.001651
741,0.17739,0.020433,0.00129
742,0.19104,0.030282,0.001457
743,0.177598,0.020017,0.001651
744,0.180581,0.022819,0.001207
745,0.180609,0.022999,0.001484
746,0.177141,0.020419,0.00154
747,0.180553,0.022292,0.002663
748,0.173479,0.01795,0.001734
749,0.180511,0.022236,0.001512
750,0.186546,0.02594,0.001845
751,0.181829,0.022888,0.001207
752,0.181219,0.023707,0.001387
753,0.183522,0.024428,0.001096
754,0.179721,0.02268,0.001595
755,0.18201,0.022264,0.001457
756,0.181205,0.023027,0.001262
757,0.183175,0.024012,0.002233
758,0.185977,0.026925,0.001706
759,0.180234,0.022292,0.001623
760,0.178667,0.020585,0.001484
761,0.185672,0.025552,0.001817
762,0.183771,0.023693,0.001512
763,0.17825,0.021335,0.002344
764,0.192677,0.03024,0.001457
765,0.179194,0.020405,0.001567
766,0.178292,0.021335,0.001359
767,0.18416,0.024497,0.002649
768,0.17911,0.021848,0.001429
769,0.202373,0.038341,0.001387
770,0.180456,0.022098,0.001262
771,0.181746,0.022319,0.001373
772,0.183411,0.022999,0.001637
773,0.188363,0.027272,0.00154
774,0.189348,0.026495,0.008434
775,0.186532,0.024497,0.001359
776,0.188349,0.025843,0.001165
777,0.185283,0.023471,0.00197
778,0.188557,0.025135,0.002483
779,0.186684,0.024581,0.002067
780,0.182218,0.02121,0.001443
781,0.185741,0.023027,0.002081
782,0.181746,0.022292,0.001346
783,0.182093,0.02207,0.001637
784,0.193093,0.028007,0.001748
785,0.189847,0.026273,0.001235
786,0.190402,0.02791,0.001484
787,0.190541,0.027438,0.001748
788,0.187461,0.025746,0.001415
789,0.185242,0.02361,0.002095
790,0.192067,0.028964,0.003218
791,0.184756,0.023762,0.002525
792,0.187156,0.025746,0.002136
793,0.187295,0.024872,0.002289
794,0.195493,0.030615,0.002275
795,0.189972,0.027161,0.002622
796,0.186102,0.023762,0.002247
797,0.182287,0.02114,0.002178
798,0.197213,0.031724,0.001998
799,0.183327,0.021945,0.003773
800,0.185949,0.02379,0.001914
801,0.192829,0.027591,0.001623
802,0.18323,0.022028,0.001609
803,0.189778,0.025496,0.00308
804,0.186518,0.023929,0.001429
805,0.186934,0.024691,0.001526
806,0.18133,0.021459,0.001789
807,0.190333,0.026301,0.001706
808,0.187669,0.024802,0.001887
809,0.187211,0.024511,0.001706
810,0.19,0.026828,0.001651
811,0.185533,0.02354,0.001221
812,0.186546,0.024483,0.001526
813,0.19369,0.028201,0.001762
814,0.191803,0.027258,0.001498
815,0.191623,0.027799,0.0019
816,0.188571,0.025552,0.001346
817,0.196519,0.030282,0.001567
818,0.189944,0.026703,0.001512
