,0,400,800,1200,1600,2000,2400
416,0,0,0.000014,0.000014,0.000028,0,0.000014
418,0,0,0.000014,0.000042,0,0,0
420,0,0,0,0,0.000014,0,0
422,0,0.000014,0.000028,0,0,0,0
424,0,0,0,0.000014,0,0,0
426,0,0,0,0,0.000014,0,0.000028
428,0,0,0.000014,0,0.000014,0.000028,0
430,0.000014,0,0.000028,0.000014,0,0,0
432,0,0,0,0,0,0,0
434,0,0.000014,0,0.000014,0,0,0
436,0,0,0.000028,0,0,0.000028,0
438,0,0,0,0,0,0.000014,0.000014
440,0,0.000014,0.000042,0,0,0,0
442,0,0,0,0.000014,0,0,0
444,0,0,0,0.000042,0.000028,0,0.000014
446,0,0.000028,0.000014,0.000014,0.000042,0.000014,0.000069
448,0,0,0.000111,0.000111,0.000083,0.000014,0.000388
450,0,0.000014,0.000069,0.000291,0.000333,0.000166,0.000735
452,0,0.000014,0.000208,0.000333,0.000472,0.000236,0.00104
454,0,0,0.000305,0.000375,0.000583,0.000499,0.000985
456,0,0.000042,0.000361,0.000458,0.000499,0.000472,0.001165
458,0,0,0.000361,0.000513,0.000763,0.00061,0.001137
460,0,0.000028,0.000333,0.000458,0.000527,0.000416,0.000832
462,0.000014,0.000014,0.00018,0.00025,0.00043,0.000402,0.000569
464,0,0,0.000208,0.000208,0.000277,0.000222,0.000555
466,0,0.000028,0.000194,0.000139,0.00018,0.000333,0.000486
468,0,0,0.000055,0.000083,0.000111,0.000388,0.000333
470,0,0.000014,0.000042,0.000055,0.000125,0.000499,0.000222
472,0,0,0.000028,0.000055,0.000055,0.000513,0.000264
474,0,0,0.000028,0.000042,0.000097,0.000416,0.000125
476,0,0,0.000097,0.000042,0.000042,0.000555,0.000083
478,0,0,0.000028,0.000014,0.000028,0.000361,0.000083
480,0.000014,0,0,0.000055,0.000069,0.000208,0.000042
482,0,0,0.000014,0,0.000014,0.000194,0.000083
484,0,0.000028,0,0.000028,0.000042,0.000236,0.000042
486,0.000014,0,0.000028,0.000014,0.000028,0.000139,0.000111
488,0,0.000028,0,0.000028,0.000014,0.000125,0.000097
490,0,0,0.000014,0.000014,0.000028,0.000166,0.000028
492,0,0.000014,0,0.000014,0.000014,0.000125,0.000055
494,0,0.000014,0,0,0,0.000097,0
496,0,0,0,0,0.000014,0.000111,0.000042
498,0,0,0,0.000014,0.000028,0.000028,0.000083
500,0,0,0,0.000014,0,0.000042,0.000028
502,0,0,0,0,0.000014,0.000069,0.000014
504,0,0,0,0.000028,0.000014,0.000055,0
506,0,0,0,0.000014,0.000028,0.000028,0.000014
508,0,0,0,0,0.000014,0.000028,0.000028
510,0,0,0.000014,0.000028,0,0,0
512,0,0,0.000014,0.000014,0.000028,0.000028,0
514,0,0,0.000014,0,0.000028,0.000014,0.000042
516,0,0,0,0.000028,0.000028,0.000014,0.000014
518,0,0,0.000042,0,0.000014,0,0.000014
520,0,0,0,0.000014,0.000014,0,0.000014
522,0,0,0,0.000055,0.000055,0,0.000014
524,0,0,0,0.000014,0.000042,0,0.000042
526,0,0,0,0.000042,0.000042,0,0.000042
528,0,0.000014,0,0.000055,0.000028,0.000014,0.000055
530,0.000014,0,0,0.000083,0.000028,0,0.000055
532,0.000014,0,0,0.000125,0.000097,0,0.000055
534,0,0,0,0.000153,0.000055,0.000014,0.000042
536,0,0,0.000014,0.000125,0.000042,0,0.000055
538,0,0.000014,0,0.000097,0.000083,0.000014,0.000069
540,0,0,0,0.000028,0.000055,0.000014,0.000014
542,0.000014,0,0,0.000055,0.000028,0.000042,0.000042
544,0,0,0,0.000055,0.000014,0,0.000028
546,0,0.000014,0,0.000042,0.000069,0.000014,0.000014
548,0,0,0,0.000055,0.000055,0.000042,0.000055
550,0,0,0.000014,0.000083,0.000042,0,0.000069
552,0,0,0,0.000042,0.000028,0,0.000055
554,0,0,0.000014,0.000055,0,0.000028,0.000028
556,0,0,0.000014,0.000014,0,0,0.000028
558,0,0,0,0.000014,0.000014,0.000014,0.000014
560,0,0,0,0.000014,0,0,0.000014
562,0,0,0,0,0,0,0
564,0,0,0,0.000014,0.000014,0,0.000014
566,0,0,0,0,0.000014,0,0.000042
568,0,0,0,0,0,0,0
570,0,0,0.000014,0,0,0,0
572,0,0,0,0,0.000014,0,0
574,0,0,0,0,0,0,0
576,0,0,0.000028,0,0,0.000014,0.000014
578,0,0,0.000014,0,0,0.000014,0
580,0,0,0,0,0,0,0
582,0,0,0.000028,0,0,0,0
584,0,0,0,0,0.000028,0,0
586,0,0,0.000028,0,0.000014,0.000014,0
588,0,0.000014,0,0.000014,0.000014,0.000014,0
590,0,0,0,0,0.000014,0.000014,0
592,0,0,0,0.000014,0,0.000042,0
594,0,0.000014,0,0,0,0,0
596,0,0,0,0.000028,0,0.000028,0
598,0,0,0,0,0.000014,0,0
