overflow 1ms,,,
,over 200us,over 500us,over 1ms
381,0.076835,0.000652,0.000402
382,0.075226,0.000694,0.000472
383,0.072798,0.000486,0.000305
384,0.076946,0.00086,0.000666
385,0.077112,0.000638,0.00043
386,0.077029,0.000805,0.000596
387,0.074879,0.000749,0.000458
388,0.077209,0.000971,0.000721
389,0.077889,0.000929,0.000624
390,0.077348,0.000707,0.000527
391,0.071023,0.000499,0.000305
392,0.075337,0.000707,0.000486
393,0.076197,0.000707,0.000458
394,0.075975,0.000541,0.000347
395,0.072715,0.000486,0.000333
396,0.075392,0.001318,0.001068
397,0.076932,0.000721,0.000486
398,0.082481,0.00197,0.001359
399,0.073076,0.000777,0.000596
400,0.075628,0.000846,0.00061
401,0.075947,0.000569,0.000388
402,0.074296,0.000583,0.000361
403,0.075115,0.000832,0.000583
404,0.075059,0.000874,0.000652
405,0.075836,0.000777,0.000555
406,0.075531,0.000735,0.000527
407,0.074185,0.000721,0.000583
408,0.076308,0.000749,0.000527
409,0.079249,0.002955,0.002289
410,0.073631,0.000513,0.000375
411,0.077057,0.000707,0.00043
412,0.076141,0.000846,0.000624
413,0.075392,0.000791,0.00061
414,0.077612,0.000805,0.000638
415,0.076405,0.000791,0.000569
416,0.074796,0.000569,0.000388
417,0.079054,0.000749,0.000472
418,0.075212,0.000985,0.000721
419,0.076252,0.001248,0.000943
420,0.075129,0.000985,0.000707
421,0.077903,0.000347,0.00025
422,0.076349,0.000596,0.000361
423,0.076419,0.00061,0.000472
424,0.085311,0.003468,0.002455
425,0.074671,0.000652,0.000444
426,0.074657,0.000513,0.000402
427,0.075878,0.000652,0.000416
428,0.07739,0.000721,0.000444
429,0.077945,0.000971,0.000694
430,0.077653,0.000707,0.000513
431,0.074074,0.000805,0.00061
432,0.072729,0.000694,0.000513
433,0.078721,0.001262,0.001013
434,0.074713,0.000707,0.000402
435,0.07696,0.000777,0.000569
436,0.074019,0.00068,0.000416
437,0.076516,0.000527,0.000388
438,0.079692,0.000486,0.000305
439,0.084353,0.002552,0.001803
440,0.073644,0.000569,0.000388
441,0.074227,0.000805,0.000638
442,0.086809,0.002053,0.001567
443,0.076266,0.000832,0.000666
444,0.079831,0.001013,0.000666
445,0.07671,0.001262,0.000832
446,0.075462,0.000999,0.000666
447,0.075573,0.001165,0.000888
448,0.075323,0.000999,0.000777
449,0.078139,0.001443,0.000985
450,0.076238,0.001207,0.000832
451,0.075462,0.000763,0.000527
452,0.07456,0.000929,0.00068
453,0.076266,0.00104,0.000832
454,0.077737,0.000888,0.000638
455,0.077903,0.000874,0.000666
456,0.074657,0.000763,0.000458
457,0.076003,0.000707,0.000569
458,0.077182,0.001151,0.000916
459,0.078014,0.001054,0.000707
460,0.077806,0.000805,0.000596
461,0.075573,0.001221,0.000916
462,0.072257,0.00111,0.000902
463,0.073547,0.001151,0.00086
464,0.07481,0.000902,0.000777
465,0.076585,0.000832,0.000652
466,0.075503,0.000749,0.000555
467,0.07309,0.000943,0.000749
468,0.075531,0.000791,0.000666
469,0.075323,0.000888,0.000624
470,0.073825,0.000749,0.000555
471,0.073839,0.000888,0.000749
472,0.076877,0.000888,0.000735
473,0.07567,0.000638,0.000541
474,0.073894,0.000846,0.000624
475,0.074074,0.000763,0.000499
476,0.074227,0.000985,0.000818
477,0.075781,0.000777,0.000652
478,0.075392,0.000666,0.000486
479,0.076336,0.000735,0.000583
480,0.075684,0.000943,0.000735
481,0.076447,0.00068,0.000499
482,0.074643,0.000624,0.000569
483,0.076474,0.00068,0.000527
484,0.075864,0.000666,0.000583
485,0.078236,0.003024,0.002497
486,0.074935,0.000694,0.000527
487,0.074172,0.000707,0.000555
488,0.075642,0.000943,0.000763
489,0.074643,0.000555,0.000388
490,0.074782,0.000943,0.00061
