,0,100,200,300,400,500
490,0.000055,0.000042,0.000153,0.001262,0.002178,0.001484
492,0.000042,0.000055,0.000042,0.001137,0.002469,0.001512
494,0,0.000069,0.000166,0.000818,0.001984,0.001665
496,0.000014,0,0.000069,0.001027,0.002358,0.001609
498,0.000014,0.000028,0.000194,0.001054,0.002122,0.001651
500,0.000028,0.000028,0.000097,0.000694,0.002233,0.001567
502,0.000028,0.000083,0.000166,0.000805,0.002303,0.001803
504,0.000014,0.000028,0.000083,0.000818,0.002067,0.001665
506,0.000028,0.000042,0.000083,0.00061,0.002108,0.001706
508,0.000055,0.000028,0.000069,0.000818,0.002108,0.001415
510,0.000028,0.000014,0.000069,0.000624,0.001998,0.001803
512,0.000014,0.000014,0.000055,0.000694,0.002067,0.001914
514,0.000028,0.000042,0.000028,0.000707,0.002206,0.001762
516,0.000042,0.000028,0.000055,0.000555,0.002247,0.002011
518,0,0,0.000069,0.000652,0.002039,0.001998
520,0,0,0.000083,0.000472,0.002122,0.001845
522,0.000028,0.000014,0.000111,0.000624,0.002233,0.002206
524,0.000042,0.000014,0.000125,0.000458,0.002108,0.001845
526,0.000028,0.000028,0.000055,0.000499,0.001914,0.00172
528,0.000042,0.000042,0.000042,0.00043,0.001748,0.002164
530,0.000042,0.000014,0.000055,0.000333,0.001887,0.002122
532,0,0,0.000042,0.000458,0.001942,0.002663
534,0,0.000055,0.000069,0.000375,0.001845,0.002428
536,0,0.000014,0.000083,0.000513,0.001651,0.002219
538,0.000028,0,0.000042,0.00043,0.002067,0.002344
540,0.000042,0,0.000042,0.000444,0.001762,0.002622
542,0.000014,0,0,0.000347,0.001692,0.002303
544,0.000014,0.000014,0.000055,0.000444,0.001748,0.002358
546,0.000014,0,0.000055,0.000472,0.001595,0.002539
548,0,0,0.000028,0.000416,0.0019,0.002733
550,0.000028,0,0.000042,0.000347,0.001609,0.00276
552,0.000028,0.000028,0.000028,0.000305,0.0019,0.002871
554,0,0,0.000055,0.000319,0.001803,0.002913
556,0.000014,0,0.000028,0.000277,0.001817,0.002844
558,0.000014,0.000014,0.000028,0.000208,0.002011,0.002705
560,0.000028,0.000014,0.000028,0.000208,0.001595,0.003121
562,0.000028,0.000014,0.000055,0.000236,0.001873,0.003177
564,0.000014,0.000042,0.000055,0.000236,0.001845,0.003648
566,0,0.000014,0.000042,0.000305,0.00172,0.003523
568,0.000028,0,0.000042,0.000361,0.00172,0.003371
570,0.000014,0,0.000042,0.000236,0.001942,0.00437
572,0,0.000014,0.000042,0.000264,0.0019,0.003981
574,0.000028,0,0.000055,0.000139,0.001692,0.004328
576,0,0.000042,0,0.00018,0.001706,0.004508
578,0.000028,0.000014,0.000097,0.000166,0.0019,0.00498
580,0,0.000014,0.000069,0.000277,0.002164,0.006325
582,0,0.000014,0.000042,0.000333,0.002372,0.008406
584,0.000014,0,0.000069,0.000472,0.003246,0.011375
586,0,0,0.000042,0.000638,0.003135,0.015508
588,0,0,0.000028,0.000305,0.003052,0.008725
590,0.000014,0.000042,0,0.000139,0.001221,0.003926
592,0,0.000014,0,0.000069,0.000555,0.002303
594,0,0,0,0.000083,0.000347,0.001706
596,0,0,0.000014,0.000069,0.000486,0.001845
598,0.000014,0.000014,0,0.000014,0.000444,0.002622
600,0.000014,0,0.000028,0.000028,0.00061,0.002982
602,0.000014,0,0,0.000014,0.000513,0.00301
604,0,0.000014,0,0,0.000347,0.001373
606,0,0,0.000014,0.000028,0.00018,0.000388
608,0,0,0.000028,0.000028,0.000083,0.000333
610,0,0,0,0.000028,0.000083,0.00025
612,0,0,0,0.000014,0.000055,0.000194
614,0.000028,0,0,0.000028,0.000042,0.000153
616,0,0,0,0.000028,0.000069,0.000361
618,0.000014,0,0,0.000028,0.000014,0.000208
620,0.000014,0.000014,0,0.000042,0.000014,0.000069
622,0.000014,0.000014,0,0,0.000014,0.000042
624,0,0,0,0.000014,0.000042,0.000055
626,0.000014,0,0,0.000014,0.000028,0.000028
628,0,0.000014,0,0.000014,0,0.000055
630,0.000014,0,0,0.000028,0,0
632,0,0,0,0.000014,0.000014,0.000069
634,0,0.000028,0.000014,0.000042,0,0.000028
636,0,0,0.000014,0.000028,0,0.000028
638,0,0,0,0.000042,0,0.000055
640,0.000014,0,0,0,0.000028,0.000014
642,0.000014,0,0,0,0.000028,0.000014
644,0.000014,0,0,0.000014,0.000028,0.000028
646,0.000028,0,0.000014,0,0.000014,0.000014
648,0,0,0,0.000042,0.000028,0.000055
650,0,0,0,0.000014,0.000014,0
652,0,0,0.000014,0,0.000014,0.000042
654,0,0,0,0,0.000055,0
656,0.000014,0,0,0,0.000014,0.000014
658,0,0,0,0.000014,0.000014,0.000014
660,0,0,0,0.000014,0.000014,0.000028
662,0,0,0,0.000042,0,0.000028
664,0,0,0,0.000014,0.000042,0.000014
666,0,0,0,0.000014,0.000028,0.000042
668,0,0,0,0.000014,0.000014,0.000042
670,0,0,0,0.000028,0.000014,0.000069
672,0,0,0,0.000042,0.000014,0.000014
674,0,0,0,0.000014,0.000028,0.000028
676,0,0,0,0,0.000014,0.00018
678,0,0,0,0.000014,0.000042,0.000097
680,0,0,0,0.000042,0.000083,0.000375
682,0,0,0,0,0.000014,0.000361
684,0.000014,0,0,0.000014,0.000014,0.000055
686,0.000014,0,0,0,0.000028,0.000069
688,0,0,0,0,0.000028,0.000028
690,0,0,0,0.000028,0,0
692,0,0,0.000014,0.000014,0,0.000042
694,0,0,0,0.000014,0.000014,0.000042
696,0,0,0,0,0,0.000028
698,0,0,0,0.000014,0,0
700,0,0,0,0.000014,0.000028,0
702,0,0,0,0.000014,0.000042,0.000028
704,0,0,0,0.000028,0.000028,0
706,0.000014,0,0.000014,0,0,0.000014
708,0,0,0,0,0.000014,0.000014
710,0,0,0,0,0,0.000028
712,0,0,0,0,0.000014,0.000014
714,0,0,0,0.000014,0,0.000014
716,0,0.000014,0,0,0.000028,0.000014
718,0.000014,0,0,0.000014,0.000014,0.000042
720,0,0,0,0,0.000014,0.000028
722,0,0,0,0.000014,0.000042,0.000028
724,0,0,0,0,0,0.000014
726,0,0,0,0,0.000014,0.000042
