overflow 1ms,,
,over 400us,over 1ms
382,0.04167,0.004869
383,0.034624,0.003898
384,0.039867,0.008018
385,0.040852,0.005632
386,0.042267,0.008725
387,0.039257,0.005188
388,0.040713,0.007394
389,0.034207,0.004592
390,0.039576,0.006104
391,0.04296,0.008753
392,0.035442,0.003482
393,0.03289,0.002969
394,0.047899,0.009294
395,0.032737,0.00609
396,0.039964,0.00688
397,0.040339,0.005452
398,0.041476,0.007102
399,0.045027,0.006298
400,0.04296,0.004148
401,0.046442,0.007144
402,0.035983,0.003093
403,0.048037,0.005479
404,0.042003,0.007629
405,0.041337,0.006922
406,0.036122,0.004009
407,0.04002,0.007505
408,0.041421,0.007088
409,0.037606,0.003676
410,0.039298,0.006853
411,0.036996,0.00523
412,0.042558,0.006173
413,0.036593,0.004203
414,0.03959,0.003842
415,0.044764,0.003995
416,0.037703,0.004023
417,0.038646,0.003177
418,0.038494,0.004716
419,0.039395,0.004106
420,0.034901,0.002275
421,0.047455,0.005937
422,0.040991,0.007643
423,0.034915,0.004661
424,0.039714,0.004841
425,0.032279,0.002539
426,0.033888,0.002552
427,0.037134,0.003121
428,0.034305,0.00172
429,0.032793,0.003537
430,0.038965,0.003121
431,0.0335,0.004661
432,0.040658,0.003912
433,0.038993,0.00308
434,0.034721,0.002428
435,0.04192,0.005313
436,0.037495,0.002247
437,0.037745,0.004064
438,0.035054,0.001554
439,0.040283,0.004134
440,0.036899,0.001762
441,0.034402,0.001332
442,0.037883,0.002566
443,0.036482,0.001373
444,0.036954,0.002636
445,0.036011,0.003579
446,0.038799,0.002441
447,0.040796,0.001817
448,0.029158,0.001484
449,0.039701,0.001678
450,0.035928,0.002969
451,0.032501,0.00233
452,0.036122,0.00147
453,0.036358,0.002511
454,0.030129,0.001817
455,0.038508,0.00412
456,0.040533,0.002941
457,0.042669,0.003731
458,0.03239,0.001859
459,0.042683,0.003842
460,0.032307,0.002483
461,0.035387,0.001443
462,0.040783,0.002233
463,0.033722,0.001942
464,0.03651,0.003371
465,0.036815,0.00369
466,0.036371,0.001762
467,0.039701,0.001928
468,0.042142,0.004092
469,0.036996,0.001332
470,0.037897,0.005868
471,0.036136,0.002108
472,0.036968,0.002747
473,0.034138,0.001581
474,0.037786,0.00308
475,0.035276,0.001748
476,0.034873,0.003177
477,0.042308,0.002317
478,0.037606,0.0043
479,0.037953,0.001013
480,0.04124,0.001276
481,0.032584,0.002372
482,0.037523,0.001776
483,0.039798,0.002275
484,0.031932,0.001415
485,0.044611,0.004051
486,0.040047,0.002663
487,0.040339,0.003565
488,0.038702,0.001831
489,0.041379,0.004411
490,0.045499,0.010598
491,0.037953,0.004633
492,0.040491,0.004161
493,0.048204,0.011222
494,0.058108,0.022208
495,0.067735,0.025357
496,0.069206,0.033764
497,0.060744,0.027119
498,0.068845,0.031086
499,0.070981,0.034748
500,0.075906,0.037842
501,0.07345,0.04088
502,0.057456,0.023651
503,0.051519,0.018241
504,0.053198,0.021501
505,0.04887,0.01315
506,0.04708,0.009946
507,0.047191,0.013983
508,0.043585,0.011014
509,0.048578,0.015633
510,0.052601,0.019434
511,0.048232,0.017201
512,0.044625,0.013081
513,0.053683,0.020003
514,0.033847,0.007019
515,0.040949,0.00824
516,0.043626,0.009488
517,0.03762,0.007837
518,0.039465,0.00362
519,0.041129,0.007227
520,0.03891,0.004702
521,0.048301,0.011042
522,0.046026,0.010584
523,0.036815,0.006492
524,0.033486,0.003953
525,0.047857,0.014052
526,0.043668,0.006076
527,0.034748,0.003482
528,0.039506,0.006214
529,0.043099,0.008434
530,0.032973,0.001845
531,0.038022,0.009183
532,0.042836,0.00516
533,0.042184,0.007837
534,0.037065,0.003329
535,0.039493,0.00344
536,0.037009,0.005396
537,0.03454,0.005146
538,0.039964,0.00308
539,0.044528,0.004938
540,0.035137,0.005133
541,0.039548,0.006492
542,0.040422,0.006117
543,0.030393,0.002539
544,0.033888,0.003218
545,0.037842,0.006672
546,0.037592,0.007047
547,0.038091,0.00609
548,0.046345,0.005895
549,0.036829,0.002885
550,0.036885,0.005243
551,0.037315,0.004342
552,0.036469,0.004675
553,0.042003,0.005549
554,0.037231,0.004786
555,0.036801,0.003537
556,0.034429,0.004758
557,0.04425,0.006187
558,0.033403,0.002247
559,0.037592,0.004578
560,0.036621,0.003884
561,0.037745,0.00473
562,0.041851,0.004744
563,0.044514,0.006034
564,0.037218,0.002414
565,0.03909,0.00774
566,0.039603,0.004772
567,0.040588,0.008087
568,0.036288,0.004938
569,0.03497,0.004245
570,0.036025,0.00627
571,0.049092,0.011042
572,0.039409,0.003787
573,0.035456,0.002095
574,0.033209,0.004217
575,0.038091,0.006006
576,0.034721,0.005854
577,0.033153,0.003052
578,0.039284,0.007241
579,0.035914,0.00258
580,0.039243,0.004994
581,0.045513,0.00541
582,0.037231,0.005271
583,0.035941,0.0043
584,0.040006,0.003177
585,0.04063,0.003898
586,0.035581,0.003718
587,0.033236,0.003232
588,0.034707,0.002788
589,0.029477,0.002719
590,0.034485,0.003107
591,0.032085,0.002358
592,0.034915,0.002566
593,0.044015,0.005563
594,0.035678,0.002885
595,0.036108,0.002497
596,0.038313,0.003856
597,0.03196,0.001401
598,0.037856,0.003884
599,0.038189,0.003329
600,0.032168,0.002691
601,0.035123,0.001831
602,0.034471,0.00104
603,0.032793,0.002788
604,0.034554,0.003052
605,0.03289,0.00369
606,0.036912,0.002566
607,0.039215,0.003246
608,0.033722,0.003052
609,0.035761,0.002677
610,0.040047,0.004106
611,0.034457,0.002011
612,0.034859,0.003662
613,0.036996,0.00473
614,0.035858,0.002081
615,0.036718,0.002525
616,0.031086,0.001609
617,0.035844,0.002913
618,0.032349,0.002774
619,0.03583,0.002955
620,0.038494,0.003371
621,0.040228,0.00154
622,0.031849,0.00301
623,0.035997,0.002774
624,0.030989,0.002039
625,0.037786,0.002566
626,0.038161,0.002317
627,0.02895,0.002289
628,0.033472,0.002303
629,0.033555,0.002067
630,0.034804,0.003565
631,0.03633,0.002414
632,0.034929,0.003981
633,0.034083,0.004605
634,0.03375,0.002219
635,0.039354,0.002081
636,0.03676,0.002525
637,0.0354,0.001359
638,0.035359,0.001914
639,0.036247,0.003135
640,0.033736,0.001179
641,0.036815,0.002289
642,0.037204,0.002081
643,0.037356,0.001776
644,0.034901,0.002247
645,0.03823,0.001789
646,0.039326,0.00104
647,0.033125,0.003496
648,0.036288,0.004051
649,0.041573,0.004161
650,0.036358,0.002663
651,0.037051,0.004356
652,0.037509,0.004328
653,0.037079,0.003232
654,0.043196,0.008198
655,0.037537,0.007449
656,0.041587,0.007768
657,0.040075,0.010612
658,0.037592,0.006256
659,0.041684,0.010917
660,0.043474,0.008295
661,0.040561,0.005632
662,0.040741,0.005424
663,0.036829,0.004813
664,0.033167,0.003842
665,0.03325,0.004647
666,0.038716,0.006339
667,0.036247,0.003829
668,0.035497,0.006159
669,0.033972,0.005618
670,0.035733,0.002982
671,0.042295,0.006561
672,0.041948,0.005521
673,0.03203,0.002539
674,0.039867,0.004855
675,0.033444,0.002372
676,0.03669,0.008226
677,0.045873,0.006381
678,0.04217,0.006908
679,0.039049,0.004522
680,0.041767,0.005979
681,0.044056,0.003829
682,0.032751,0.004966
683,0.040269,0.004286
684,0.039173,0.004897
685,0.043141,0.006589
686,0.041213,0.006353
687,0.04414,0.008365
688,0.038827,0.003981
689,0.045998,0.008698
690,0.037967,0.007616
691,0.062519,0.027077
692,0.075309,0.038466
693,0.069968,0.036857
694,0.0579,0.028257
695,0.066792,0.034693
696,0.06485,0.036469
697,0.075906,0.042836
698,0.067277,0.036413
699,0.064406,0.034013
700,0.036829,0.005965
701,0.047552,0.019642
702,0.056541,0.026536
703,0.045041,0.013996
704,0.048745,0.01856
705,0.041726,0.013331
706,0.045249,0.017353
707,0.048773,0.016951
708,0.048953,0.012665
709,0.04414,0.013358
710,0.04801,0.016618
711,0.036371,0.004342
712,0.039548,0.004647
713,0.034707,0.003565
714,0.045235,0.006561
715,0.046442,0.010681
716,0.033611,0.003121
717,0.054058,0.010626
718,0.037606,0.008184
719,0.046123,0.011486
720,0.033084,0.00412
721,0.041254,0.007116
722,0.04622,0.01254
723,0.045568,0.007088
724,0.03676,0.004356
725,0.036912,0.005008
726,0.040172,0.005687
727,0.047344,0.009017
728,0.034637,0.003995
729,0.037606,0.004453
730,0.037273,0.003135
731,0.031849,0.003648
732,0.055597,0.009363
733,0.048537,0.008337
734,0.041615,0.005549
735,0.036801,0.00559
736,0.039728,0.003648
737,0.044389,0.006048
738,0.03504,0.00319
739,0.038147,0.005979
740,0.034762,0.003315
741,0.035137,0.004328
742,0.039007,0.00559
743,0.038105,0.004397
744,0.036163,0.003565
745,0.035276,0.002788
746,0.038577,0.003551
747,0.034083,0.003121
748,0.034499,0.004092
749,0.030878,0.002136
750,0.037162,0.003177
751,0.038785,0.003731
752,0.039895,0.004051
753,0.035345,0.002719
754,0.031919,0.001942
755,0.032168,0.001401
756,0.0354,0.003523
757,0.03479,0.003093
758,0.034859,0.006173
759,0.037648,0.002636
760,0.036163,0.002747
761,0.030129,0.001803
762,0.031766,0.001387
763,0.043127,0.004702
764,0.039673,0.007033
765,0.032723,0.004897
766,0.041504,0.001581
767,0.033625,0.002025
768,0.035955,0.001637
769,0.031336,0.002594
770,0.045707,0.003759
771,0.039395,0.003371
