,0,400,800,1200,1600,2000,
286,3.888425,2.463726,2.49681,2.5713,2.383506,2.489943,2.591289
288,2.25855,1.026597,0.871929,0.730397,0.768946,1.008079,1.03585
290,1.708596,0.689281,0.4398,0.245112,0.556904,1.802438,1.456299
292,1.711911,1.012213,0.331532,0.240659,0.595148,4.188524,4.448894
294,1.608623,0.947404,0.44976,0.351507,0.580264,1.812744,1.693767
296,1.864527,1.976041,0.845642,0.847917,1.076189,1.909152,1.768452
298,2.534166,1.991577,0.544378,0.626734,0.706205,1.313768,1.366924
300,2.351476,0.869931,0.297186,0.303941,0.366599,0.98003,0.9021
302,1.537809,0.507105,0.196935,0.19516,0.217674,0.773621,0.776714
304,0.945684,0.233612,0.126676,0.137454,0.130379,0.482816,0.466406
306,0.736736,0.128645,0.065266,0.068484,0.075337,0.344155,0.317924
308,0.615748,0.120766,0.050507,0.040921,0.084131,0.246887,0.227744
310,0.543976,0.180054,0.042197,0.035969,0.089625,0.182426,0.161618
312,0.423154,0.119407,0.024275,0.019448,0.05421,0.170441,0.146443
314,0.304191,0.069455,0.020918,0.018144,0.048065,0.131212,0.109711
316,0.212014,0.045998,0.013955,0.013455,0.029824,0.083729,0.076155
318,0.15231,0.024733,0.0086,0.008087,0.016396,0.055445,0.046831
320,0.113609,0.016549,0.00627,0.005743,0.011208,0.035276,0.032654
322,0.080566,0.011971,0.003787,0.003038,0.007186,0.024497,0.021973
324,0.058538,0.011375,0.004009,0.003482,0.007505,0.016466,0.015633
326,0.045083,0.012471,0.004994,0.003773,0.013525,0.011611,0.014607
328,0.041032,0.015883,0.006617,0.003718,0.013539,0.008489,0.010542
330,0.036399,0.00885,0.002871,0.002164,0.006742,0.006964,0.009169
332,0.025371,0.005854,0.002178,0.002275,0.006547,0.00437,0.006631
334,0.016299,0.005285,0.001706,0.002289,0.004592,0.003121,0.004592
336,0.012276,0.002941,0.000888,0.001373,0.002178,0.002136,0.003177
338,0.009724,0.002067,0.000818,0.001526,0.001873,0.001346,0.002802
340,0.007158,0.001734,0.000888,0.001082,0.001526,0.001359,0.002011
342,0.005424,0.001262,0.000777,0.000777,0.001401,0.001484,0.001776
344,0.003634,0.001401,0.001165,0.001262,0.001567,0.001401,0.001998
346,0.002927,0.001498,0.001193,0.001193,0.001346,0.001429,0.002025
348,0.002566,0.001873,0.001956,0.001637,0.001998,0.00154,0.002414
350,0.002649,0.001817,0.001956,0.002261,0.002247,0.001845,0.002594
352,0.002108,0.001887,0.001554,0.00147,0.001567,0.001637,0.002816
354,0.001554,0.001193,0.000916,0.000999,0.001304,0.000985,0.001942
356,0.001567,0.000971,0.000943,0.000541,0.000874,0.000957,0.001429
358,0.000999,0.000735,0.000624,0.000472,0.000735,0.000735,0.000957
360,0.000874,0.000583,0.000416,0.000305,0.000721,0.000527,0.000971
362,0.000916,0.000569,0.000486,0.000472,0.000694,0.000499,0.001512
364,0.001096,0.000902,0.000763,0.00068,0.001013,0.000721,0.003371
366,0.000957,0.001248,0.001262,0.001359,0.001235,0.001193,0.002774
368,0.001179,0.001789,0.002469,0.001873,0.002303,0.001776,0.002747
370,0.001484,0.001831,0.001998,0.002358,0.002178,0.00197,0.002802
372,0.001651,0.00172,0.001609,0.001567,0.001415,0.001567,0.001942
374,0.001318,0.001415,0.000943,0.001165,0.000902,0.001068,0.001387
376,0.001235,0.000818,0.000652,0.000444,0.000624,0.000666,0.001027
378,0.000624,0.000805,0.000444,0.000472,0.000638,0.000527,0.000694
380,0.000846,0.000707,0.00061,0.000388,0.000555,0.000666,0.000805
382,0.000818,0.000624,0.000527,0.000388,0.000555,0.000721,0.001567
384,0.000999,0.000985,0.000569,0.000583,0.00068,0.000721,0.001845
386,0.000916,0.001068,0.000638,0.000596,0.000707,0.000791,0.001332
388,0.000832,0.000846,0.000596,0.000874,0.000791,0.000957,0.001221
390,0.000916,0.000888,0.000985,0.001179,0.000777,0.000846,0.001054
