,0,400,800,1200,1600,2000,
372,0,0.00351,0.013136,0.006908,0.029547,0.001207,0.001373
374,0.000028,0.003551,0.010515,0.005105,0.024164,0.000721,0.001027
376,0,0.001914,0.010445,0.004439,0.02551,0.000472,0.00061
378,0,0.000971,0.00627,0.00233,0.016799,0.000555,0.000527
380,0.000014,0.00147,0.004619,0.00172,0.012817,0.000527,0.000624
382,0,0.001609,0.004564,0.001817,0.010362,0.000388,0.000805
384,0,0.012887,0.004994,0.002414,0.008822,0.016438,0.012637
386,0,0.112013,0.031905,0.046595,0.032834,0.098419,0.091941
388,0,0.122861,0.090263,0.13271,0.062062,0.112166,0.111237
390,0,0.024539,0.117354,0.068567,0.051117,0.055237,0.059315
392,0.000042,0.005687,0.064364,0.015619,0.050465,0.01512,0.021418
394,0,0.002317,0.011222,0.005271,0.022361,0.009377,0.013594
396,0,0.004966,0.00652,0.015911,0.007921,0.018338,0.017145
398,0,0.01451,0.007907,0.02938,0.010945,0.021057,0.017991
400,0,0.012914,0.006062,0.027702,0.011083,0.013372,0.012804
402,0,0.019642,0.01401,0.009336,0.044847,0.006395,0.006367
404,0,0.014052,0.012207,0.003912,0.046595,0.00362,0.003884
406,0.000055,0.003232,0.005271,0.004467,0.019476,0.002219,0.002303
408,0.000055,0.001554,0.002622,0.004148,0.009017,0.001276,0.001193
410,0.000083,0.000818,0.001665,0.003024,0.004813,0.001124,0.001124
412,0.000083,0.00068,0.003121,0.002206,0.008184,0.001262,0.001262
414,0.000055,0.001512,0.006478,0.001554,0.012734,0.00086,0.001151
416,0.000028,0.234514,0.014024,0.010737,0.012568,0.184382,0.092246
418,0.000042,3.824602,0.633989,1.069516,0.195354,2.818812,2.191786
420,0.000028,7.776683,3.481737,5.579903,1.247337,6.339472,5.979961
422,0,3.83237,6.178103,5.963135,2.21301,5.316467,5.374673
424,0.000014,0.837513,4.935982,2.102883,2.772147,1.898013,2.254625
426,0.000014,0.188349,1.569547,0.502805,2.130321,0.652632,1.22406
428,0.000028,0.164726,0.350037,0.51547,0.689531,0.681416,0.86398
430,0.000083,0.484245,0.364255,1.308358,0.364213,1.100464,1.008398
432,0.000055,0.579196,0.349759,1.654205,0.378571,1.006747,0.900074
434,0.000014,0.957004,0.510615,0.92213,1.667231,0.560747,0.58075
436,0.000055,1.281988,0.878254,0.284909,3.444644,0.236789,0.283328
438,0.000069,0.529119,0.480874,0.214802,2.208363,0.148246,0.162797
440,0.000028,0.120711,0.187794,0.245805,0.898451,0.088778,0.098308
442,0.000014,0.055875,0.087974,0.173243,0.396937,0.037176,0.042045
444,0.000014,0.034318,0.060785,0.139923,0.239369,0.019961,0.022098
446,0.000069,0.052143,0.107894,0.096214,0.277835,0.011097,0.011985
448,0.000055,0.072729,0.150785,0.090013,0.331463,0.006534,0.008378
450,0.000014,0.033999,0.090027,0.066487,0.247387,0.003926,0.004952
452,0.000028,0.022833,0.129436,0.045749,0.301292,0.002788,0.003163
454,0.000069,0.019462,0.195118,0.042738,0.363728,0.001956,0.002303
456,0.000097,0.009904,0.092968,0.025524,0.244612,0.001346,0.001873
458,0.000028,0.005452,0.038688,0.015384,0.151117,0.000888,0.001484
460,0,0.003967,0.035276,0.013497,0.091483,0.000749,0.001124
462,0,0.004009,0.032529,0.015134,0.064059,0.000444,0.000583
464,0,0.005479,0.024955,0.010917,0.04167,0.000347,0.000499
466,0,0.007421,0.036288,0.005951,0.042947,0.000277,0.000458
468,0,0.002982,0.027119,0.002885,0.034443,0.000291,0.000402
470,0,0.002469,0.009086,0.002663,0.017617,0.000347,0.000444
472,0,0.001928,0.005257,0.002552,0.010986,0.000236,0.000083
474,0,0.000832,0.00362,0.002067,0.009211,0.000166,0.00018
476,0,0.000583,0.00308,0.001027,0.008087,0.000194,0.000277
478,0,0.000513,0.002844,0.000652,0.006922,0.000139,0.000319
480,0,0.000194,0.002455,0.000486,0.004952,0.000125,0.000264
482,0,0.000319,0.002566,0.000472,0.005133,0.000194,0.000208
484,0,0.000305,0.003912,0.000513,0.007782,0.000083,0.000125
486,0,0.000166,0.002941,0.000264,0.005105,0.00018,0.000097
488,0,0.000194,0.001443,0.000333,0.002344,0.000139,0.000166
490,0,0.000125,0.001498,0.000347,0.002358,0.000083,0.000194
492,0,0.00025,0.00111,0.000194,0.001873,0.000125,0.000125
494,0,0.000236,0.000707,0.000264,0.001831,0.000208,0.000333
496,0,0.000361,0.000818,0.00025,0.001637,0.000125,0.000208
498,0.000014,0.000083,0.00068,0.000069,0.001193,0.000208,0.000194
500,0,0.000083,0.000347,0.000069,0.000735,0.000111,0.000166
502,0,0.000097,0.000333,0.000277,0.000444,0.000028,0.000111
504,0,0.000166,0.000305,0.00018,0.000555,0.00018,0.000139
506,0,0.00018,0.000277,0.00018,0.000361,0.000055,0.000236
508,0,0.000083,0.000818,0.00018,0.001651,0.000111,0.000291
510,0,0.000083,0.002219,0.000194,0.005146,0.000166,0.00025
512,0,0.000222,0.003343,0.000305,0.005757,0.00018,0.000125
514,0,0.000125,0.002358,0.000361,0.00369,0.000208,0.000153
516,0,0.000139,0.001096,0.000208,0.001554,0.000139,0.000222
518,0,0.000166,0.000805,0.000319,0.001151,0.000166,0.000166
520,0,0.000125,0.001914,0.000388,0.004827,0.000111,0.000208
522,0,0.000208,0.007768,0.000222,0.020918,0.00025,0.000139
524,0,0.000305,0.011416,0.000347,0.026273,0.000166,0.000375
526,0,0.000264,0.005576,0.000139,0.012651,0.00025,0.000291
528,0,0.000125,0.001678,0.000097,0.003967,0.000111,0.000194
530,0,0.000125,0.000638,0.000111,0.001567,0.000083,0.000125
532,0,0.000125,0.000375,0.000194,0.00154,0.000208,0.00018
534,0,0.000153,0.00043,0.00018,0.00129,0.000111,0.000208
536,0,0.000222,0.000472,0.00018,0.001068,0.00025,0.00025
538,0,0.000125,0.000402,0.000153,0.000985,0.00018,0.00025
540,0,0.000069,0.000291,0.000069,0.000486,0.000139,0.000166
542,0,0.000097,0.00025,0.000083,0.000499,0.000083,0.000097
544,0,0.000111,0.000208,0.000097,0.000319,0.000042,0.000069
546,0,0.00018,0.000264,0.000069,0.000194,0.000097,0.000083
548,0,0.000083,0.000166,0.000083,0.000277,0.000083,0.000111
550,0,0.000111,0.00018,0.000055,0.000153,0.000069,0.000111
552,0,0.000125,0.000291,0.000111,0.000291,0.000097,0.000097
554,0,0.000139,0.00018,0.000069,0.00025,0.000069,0.000139
556,0,0.000069,0.000097,0.000028,0.000194,0.000055,0.000139
558,0,0.000028,0.000139,0.000055,0.000222,0.000055,0.000042
560,0,0.000042,0.000097,0.000042,0.000139,0.000111,0.000069
562,0,0.000083,0.000166,0,0.000125,0.000055,0.000125
564,0,0.000111,0.000139,0.000083,0.000097,0.000083,0.000097
566,0,0.000083,0.000111,0.000014,0.000097,0.000083,0.000083
568,0,0.000069,0.000139,0.000125,0.000069,0.000055,0.000111
570,0,0.000139,0.000083,0.000042,0.000097,0.000042,0.000125
572,0,0.000194,0.000083,0.000069,0.000125,0.000055,0.000125
574,0,0.000125,0.000125,0.000069,0.000166,0.000139,0.000069
576,0,0.000139,0.000069,0.000111,0.000083,0.000125,0.000125
578,0,0.000069,0.000153,0.000097,0.000111,0.000069,0.000042
580,0,0.000028,0.000111,0.000069,0.000097,0.000125,0.000083
582,0,0.000083,0.000153,0.000111,0.000069,0.000139,0.000083
584,0,0.000069,0.000069,0.000042,0.000069,0.000153,0.000083
586,0,0.000097,0.000028,0.000055,0.000111,0.000125,0.000042
588,0,0.000125,0.000194,0.000097,0.000166,0.000055,0.000055
590,0,0.000125,0.000069,0.000097,0.000125,0.000097,0.000139
592,0,0.000125,0.000083,0.000125,0.000055,0.000083,0.000153
594,0,0.000153,0.000083,0.000125,0.000125,0.000111,0.000097
596,0,0.000028,0.000097,0.000166,0.000194,0.000139,0.000097
598,0,0.000069,0.000083,0.000097,0.000042,0.000028,0.000055
600,0,0.000153,0.000139,0.000083,0.000111,0.000083,0.000069
602,0,0.000055,0.000069,0.000083,0.000111,0.000153,0.000139
604,0,0.000111,0.000069,0.000055,0.000236,0.000069,0.000083
606,0,0.000194,0.000153,0.000139,0.000194,0.00018,0.000083
608,0,0.000111,0.000194,0.00018,0.000139,0.000097,0.000153
610,0,0.000139,0.000139,0.000083,0.000153,0.000139,0.00018
612,0,0.000153,0.000194,0.000125,0.000194,0.000153,0.000222
614,0,0.00018,0.000222,0.000139,0.000361,0.000153,0.000194
