overflow 1ms,,,,
,over 400us,over 500us,over 1ms,over 2.5ms
264,0.883387,0.002081,0.000818,0.000486
265,0.876798,0.001789,0.000888,0.00043
266,0.882333,0.00154,0.000472,0.000277
267,0.878143,0.00154,0.000652,0.000361
268,0.87849,0.001692,0.000777,0.000291
269,0.892792,0.002108,0.000583,0.000305
270,0.87573,0.002233,0.000652,0.000347
271,0.88605,0.001554,0.000569,0.000347
272,0.880599,0.002164,0.001013,0.000569
273,0.876479,0.003718,0.00086,0.000402
274,0.879475,0.001817,0.000583,0.000277
275,0.879919,0.003565,0.000888,0.000416
276,0.874398,0.001581,0.000499,0.000264
277,0.885509,0.002275,0.000805,0.000388
278,0.876257,0.001914,0.00068,0.000444
279,0.874287,0.005146,0.00129,0.000486
280,0.880224,0.001776,0.000777,0.000264
281,0.889407,0.004924,0.001193,0.000513
282,0.887479,0.001845,0.000569,0.000347
283,0.907912,0.005313,0.000624,0.000388
284,0.883956,0.002469,0.000347,0.000222
285,0.893166,0.001387,0.000402,0.000264
286,0.886619,0.00308,0.000569,0.000347
287,0.897744,0.002428,0.000333,0.000166
288,0.93725,0.006922,0.000402,0.000305
289,0.902044,0.002649,0.00025,0.000153
290,0.885107,0.001762,0.000375,0.00025
291,0.911727,0.005285,0.000416,0.000291
292,0.916443,0.005354,0.000444,0.000305
293,0.874232,0.001248,0.000458,0.000208
294,0.901642,0.002747,0.000416,0.00018
295,0.958946,0.010501,0.000472,0.000319
296,0.911643,0.006755,0.001027,0.000486
297,0.886882,0.002594,0.000402,0.000222
298,0.876812,0.000957,0.000319,0.000194
299,0.887021,0.001831,0.000527,0.000388
300,0.919384,0.006894,0.000888,0.000569
301,0.938013,0.007574,0.000347,0.000222
302,0.908703,0.00344,0.000375,0.00025
303,0.920452,0.005937,0.000472,0.000319
304,0.876617,0.002525,0.000499,0.000277
305,0.879336,0.001124,0.000361,0.000222
306,0.895705,0.002705,0.000277,0.000166
307,0.898604,0.002428,0.000305,0.000194
308,0.932895,0.00516,0.000416,0.000291
309,0.902072,0.003551,0.000527,0.000361
310,0.895094,0.003301,0.000486,0.000319
311,0.872941,0.001387,0.000527,0.000402
312,0.890087,0.002636,0.000444,0.000277
313,0.942466,0.008351,0.000458,0.000347
314,0.945546,0.008267,0.000402,0.000291
315,0.941883,0.008753,0.000416,0.000291
316,0.876534,0.003038,0.000666,0.000291
317,0.879947,0.001068,0.000305,0.000139
318,0.906719,0.005438,0.000513,0.000291
319,0.923198,0.006686,0.000985,0.000388
320,0.926944,0.008448,0.000486,0.000277
321,0.912351,0.004245,0.000222,0.000097
322,0.903861,0.00394,0.000416,0.000291
323,0.893471,0.002719,0.000361,0.000208
324,0.889615,0.003856,0.000721,0.000388
325,0.877283,0.001554,0.000499,0.00025
326,0.92883,0.007019,0.000361,0.000208
327,0.93965,0.007629,0.000513,0.000347
328,0.909271,0.004148,0.000333,0.00018
329,0.883415,0.00351,0.000777,0.00043
330,0.908661,0.003773,0.000264,0.000125
331,0.88476,0.002608,0.001248,0.000569
332,0.882513,0.002247,0.00061,0.000333
333,0.885898,0.002719,0.000735,0.000499
334,0.880585,0.002122,0.000763,0.000527
335,0.883179,0.00387,0.001373,0.000874
336,0.8863,0.001831,0.000652,0.000402
337,0.880141,0.001651,0.000721,0.000333
338,0.888422,0.002053,0.000735,0.000291
339,0.884829,0.003676,0.001054,0.00043
340,0.883636,0.002025,0.000818,0.000291
341,0.895427,0.001887,0.000541,0.000361
342,0.896065,0.001637,0.000499,0.000264
343,0.882277,0.001429,0.000416,0.000111
344,0.886827,0.001262,0.000541,0.000361
345,0.889976,0.0019,0.000472,0.000333
346,0.912476,0.002996,0.000458,0.000277
347,0.906011,0.002594,0.000458,0.000347
348,0.899436,0.005091,0.000985,0.000569
349,0.879198,0.001401,0.000486,0.00025
350,0.8887,0.00197,0.000388,0.000291
351,0.934559,0.005105,0.000375,0.00025
352,0.91396,0.003787,0.000319,0.000236
353,0.884497,0.003884,0.00086,0.000541
354,0.902127,0.002095,0.000361,0.000236
355,0.897938,0.002289,0.000527,0.000388
356,0.896842,0.002136,0.000361,0.000222
357,0.916526,0.0043,0.000569,0.000402
358,0.896482,0.002067,0.000402,0.000208
359,0.914015,0.004592,0.00061,0.000499
360,0.905568,0.002969,0.000694,0.000555
361,0.894068,0.004148,0.000957,0.000569
362,0.872761,0.001068,0.000361,0.000236
363,0.899533,0.002663,0.000527,0.000416
364,0.928359,0.006506,0.000541,0.000277
365,0.92306,0.004924,0.000361,0.000236
366,0.872886,0.002247,0.001054,0.000499
367,0.864771,0.003218,0.000721,0.000388
368,0.871651,0.003315,0.001013,0.000402
369,0.90357,0.004189,0.000541,0.000388
370,0.869376,0.003829,0.001027,0.000444
371,0.87917,0.001914,0.000805,0.000513
372,0.871416,0.001415,0.00043,0.000305
373,0.916942,0.005715,0.00061,0.000347
374,0.913627,0.008004,0.000388,0.000194
375,0.886341,0.002095,0.000388,0.00018
376,0.875716,0.002483,0.000777,0.000444
377,0.94137,0.00971,0.00043,0.00018
378,0.884483,0.002594,0.000707,0.000486
379,0.873635,0.002344,0.00086,0.000486
380,0.897203,0.004356,0.000652,0.000277
381,0.881029,0.00283,0.000791,0.000416
382,0.912476,0.006783,0.000555,0.000375
383,0.898701,0.005604,0.000763,0.000277
384,0.875633,0.001734,0.000763,0.000333
385,0.902654,0.004702,0.000583,0.000361
386,0.904166,0.005133,0.000652,0.00043
387,0.901586,0.004134,0.000569,0.000402
388,0.881015,0.002622,0.000277,0.000139
389,0.904583,0.003926,0.000375,0.000166
390,0.884816,0.00369,0.000569,0.000333
391,0.890017,0.002344,0.000347,0.000166
392,0.898118,0.005119,0.000596,0.000388
393,0.873677,0.001776,0.000624,0.000222
394,0.880945,0.001914,0.000694,0.000347
395,0.879725,0.002386,0.000555,0.000347
396,0.874814,0.002275,0.000707,0.000333
397,0.860887,0.001318,0.000486,0.000236
398,0.889643,0.001554,0.000541,0.000361
399,0.899381,0.002275,0.000472,0.000264
400,0.880696,0.001678,0.000638,0.00043
401,0.878754,0.002122,0.000583,0.000264
402,0.876936,0.001609,0.000624,0.000416
403,0.875147,0.001512,0.000444,0.00018
404,0.898854,0.00394,0.000361,0.000222
405,0.934296,0.009766,0.000555,0.00043
406,0.881375,0.002691,0.000596,0.000291
407,0.885426,0.003107,0.000513,0.000236
408,0.874148,0.001678,0.000388,0.000208
409,0.873371,0.003399,0.001082,0.000555
410,0.875161,0.001581,0.000624,0.000277
411,0.879933,0.002525,0.00043,0.00025
412,0.903223,0.002705,0.000347,0.000236
413,0.906497,0.005008,0.000416,0.000305
414,0.879794,0.002067,0.00061,0.000375
415,0.87136,0.002025,0.000735,0.000416
416,0.890323,0.003038,0.000638,0.000333
417,0.910908,0.004411,0.000583,0.000347
418,0.944935,0.009807,0.000486,0.000319
419,0.91095,0.005368,0.000638,0.000388
420,0.904971,0.004869,0.000499,0.000319
421,0.898978,0.003496,0.000541,0.00025
422,0.885107,0.002483,0.000624,0.000291
423,0.903417,0.004661,0.00061,0.000402
424,0.88802,0.002885,0.000541,0.000347
425,0.912684,0.005327,0.000513,0.000305
426,0.924655,0.006506,0.000499,0.000333
427,0.887853,0.00319,0.000472,0.000222
428,0.875244,0.001637,0.000486,0.00025
429,0.883636,0.002636,0.000416,0.00025
430,0.945157,0.009128,0.000416,0.000264
431,0.936349,0.008503,0.000402,0.000305
432,0.917955,0.008004,0.000513,0.000347
433,0.88236,0.001942,0.000402,0.000236
434,0.889782,0.003163,0.000541,0.000361
435,0.92263,0.006464,0.000444,0.000305
436,0.88071,0.001817,0.000361,0.00025
437,0.887867,0.003662,0.000527,0.000361
438,0.889227,0.002011,0.000555,0.000444
439,0.891266,0.004897,0.000652,0.000416
440,0.878726,0.001665,0.000652,0.000388
441,0.880182,0.001526,0.00043,0.000305
442,0.867268,0.001137,0.000416,0.000264
443,0.874911,0.00233,0.000499,0.000361
444,0.895469,0.002622,0.000375,0.000277
445,0.914099,0.005826,0.000444,0.000333
446,0.877158,0.001651,0.000347,0.000208
447,0.883387,0.002705,0.000513,0.000347
448,0.868697,0.001665,0.000583,0.000347
449,0.876992,0.007241,0.002719,0.001248
450,0.874911,0.001942,0.000375,0.00018
451,0.876617,0.005174,0.001956,0.000805
452,0.882582,0.001248,0.000458,0.000277
453,0.886647,0.003163,0.000486,0.000319
454,0.877727,0.002192,0.000624,0.000361
455,0.873871,0.001678,0.000541,0.000361
456,0.866796,0.001346,0.000486,0.000277
457,0.86982,0.001942,0.000486,0.000347
458,0.878532,0.001859,0.000652,0.00043
459,0.901267,0.003315,0.000472,0.00025
460,0.883581,0.001776,0.000555,0.000388
461,0.899492,0.004578,0.000402,0.000305
462,0.933727,0.0091,0.000347,0.000222
463,0.906511,0.006367,0.000305,0.00018
464,0.875008,0.002552,0.000707,0.000361
465,0.884829,0.002774,0.000402,0.000222
466,0.927013,0.007851,0.000583,0.00043
467,0.935877,0.009044,0.000402,0.000277
468,0.918357,0.009058,0.000499,0.000277
469,0.875716,0.002164,0.000416,0.000236
470,0.870153,0.001567,0.000458,0.000277
471,0.889546,0.003163,0.00043,0.000305
472,0.937181,0.00817,0.000569,0.000444
473,0.901947,0.004827,0.000388,0.000222
474,0.893,0.003038,0.000472,0.000291
475,0.899103,0.004592,0.000444,0.000291
476,0.878712,0.00154,0.00061,0.000416
477,0.879489,0.002219,0.000291,0.000153
478,0.871818,0.003204,0.00068,0.000333
479,0.933422,0.007976,0.000472,0.000333
480,0.920063,0.006853,0.000458,0.000277
481,0.879378,0.003135,0.000527,0.000347
482,0.865631,0.001776,0.000583,0.000388
483,0.884219,0.002261,0.00068,0.000277
484,0.879947,0.0024,0.000694,0.000458
485,0.900241,0.003579,0.000361,0.000222
486,0.917941,0.006464,0.000333,0.000236
487,0.887604,0.002025,0.000361,0.000236
488,0.886841,0.002552,0.000624,0.00043
489,0.915222,0.004966,0.000458,0.000277
490,0.912933,0.005646,0.000416,0.000305
491,0.87824,0.003204,0.000624,0.000333
492,0.888089,0.002844,0.000555,0.000347
493,0.907024,0.003884,0.000305,0.000194
494,0.890392,0.004772,0.000472,0.000277
495,0.867851,0.001526,0.000444,0.000277
496,0.870875,0.001498,0.000527,0.000305
497,0.87376,0.001429,0.000305,0.000194
498,0.873982,0.001554,0.000541,0.000361
499,0.887867,0.002469,0.000361,0.00025
500,0.886286,0.001803,0.000444,0.00025
501,0.887243,0.002164,0.000305,0.00018
502,0.917788,0.007061,0.000458,0.000305
503,0.899436,0.003718,0.000319,0.000208
504,0.886383,0.003523,0.000305,0.000208
505,0.866852,0.00154,0.000583,0.000277
506,0.884677,0.002136,0.000458,0.000291
507,0.900518,0.004286,0.000444,0.000319
508,0.908051,0.005465,0.000499,0.000388
509,0.882471,0.003426,0.000624,0.000305
510,0.901656,0.003731,0.000264,0.000125
511,0.914542,0.005618,0.000361,0.00025
512,0.891613,0.003773,0.000513,0.000264
513,0.872817,0.002414,0.000666,0.000319
514,0.887423,0.003135,0.000388,0.000291
