,0,400,800,1200,1600
608,0,0,0,0.000014,0
610,0,0.000014,0,0,0
612,0,0,0,0.000028,0
614,0,0,0,0.000028,0
616,0,0,0,0.000014,0
618,0.000014,0,0,0,0
620,0,0.000014,0,0.000028,0
622,0,0,0,0,0
624,0,0.000028,0,0.000014,0
626,0,0.000042,0,0.000028,0.000014
628,0,0,0,0.000042,0
630,0.000014,0.000014,0,0,0
632,0,0,0,0.000055,0.000014
634,0,0,0,0.000069,0.000014
636,0,0,0.000014,0.000055,0
638,0.000028,0,0,0.000111,0.000014
640,0,0.000028,0.000014,0.000277,0
642,0,0,0,0.000319,0
644,0,0,0,0.000347,0.000028
646,0,0,0.000014,0.000347,0
648,0,0.000014,0,0.000361,0
650,0,0,0.000014,0.000319,0.000014
652,0,0,0,0.000361,0
654,0.000014,0,0,0.00025,0.000014
656,0,0.000028,0.000014,0.000264,0
658,0,0,0,0.00025,0
660,0,0,0.000014,0.000305,0
662,0,0.000028,0,0.000236,0
664,0,0,0,0.000208,0
666,0,0,0,0.00018,0
668,0,0,0,0.000139,0
670,0,0,0,0.000194,0.000014
672,0,0,0,0.000153,0
674,0,0,0.000014,0.000139,0
676,0,0.000014,0,0.000097,0
678,0,0,0,0.000069,0.000014
680,0,0,0,0.000125,0
682,0,0.000014,0,0.000125,0
684,0.000014,0,0,0.000042,0
686,0,0.000014,0,0.000125,0
688,0,0,0,0.000083,0
690,0,0,0,0.000055,0
692,0,0,0,0.000055,0
694,0,0,0,0.000069,0
696,0,0,0,0.000055,0
698,0,0,0,0.000042,0
700,0,0.000014,0,0.000042,0
702,0,0,0,0,0
704,0,0,0,0.000028,0
706,0,0,0,0.000028,0
708,0,0,0,0.000014,0
710,0,0,0,0.000014,0
712,0,0,0,0.000014,0
714,0,0,0,0.000042,0
716,0,0,0,0.000028,0.000014
718,0,0,0,0,0
720,0,0,0,0.000014,0
722,0,0,0,0.000028,0
724,0,0,0,0.000014,0
726,0,0,0,0,0.000028
728,0,0,0,0,0
730,0,0,0,0.000014,0
732,0,0,0,0,0
734,0.000014,0,0,0.000042,0
736,0,0,0,0,0.000014
738,0,0,0,0.000028,0
740,0,0,0,0,0.000014
742,0,0,0,0,0
744,0,0,0,0.000028,0
746,0,0,0,0,0
748,0,0,0,0.000028,0
750,0,0,0,0,0
752,0,0,0,0.000014,0
754,0,0,0,0.000014,0
756,0.000014,0,0,0.000014,0
758,0,0,0,0.000014,0
760,0,0,0.000014,0.000014,0
762,0,0,0,0.000014,0
764,0,0,0,0,0
766,0,0,0,0.000014,0
768,0,0,0,0,0
770,0,0,0,0.000014,0
772,0,0,0,0,0
774,0,0,0,0,0
776,0,0,0,0,0
778,0,0,0,0,0
780,0,0,0,0.000028,0
782,0,0,0,0,0
784,0,0,0,0,0
786,0,0,0,0.000028,0
788,0,0,0.000014,0,0
790,0,0.000014,0,0,0
792,0,0,0,0,0
794,0,0,0,0,0
796,0,0,0,0.000028,0
798,0,0,0,0.000014,0
