,0,400,800,1200,1600,2000
366,0.00018,0.000028,0.000479,0.00009,0.000021,0.012006
368,0.000187,0.000042,0.000479,0.000104,0.000007,0.009592
370,0.000125,0.000028,0.000347,0.000083,0.000014,0.007338
372,0.000132,0.000007,0.000236,0.000062,0.000007,0.00584
374,0.00009,0.000049,0.000375,0.000028,0.000014,0.004619
376,0.00009,0.000049,0.000264,0.000049,0.000007,0.003579
378,0.00009,0.000035,0.000291,0.000049,0.000021,0.002622
380,0.000055,0.000007,0.000208,0.000055,0.000014,0.002317
382,0.000055,0.000028,0.000236,0.000083,0.000007,0.001838
384,0.000076,0.000028,0.000222,0.000076,0.000014,0.001387
386,0.000104,0.000028,0.000222,0.000049,0,0.00129
388,0.000055,0.000028,0.000243,0.000055,0.000007,0.001255
390,0.000049,0.000021,0.000229,0.000076,0.000014,0.001117
392,0.000132,0.000049,0.000194,0.000049,0,0.000992
394,0.000062,0.000028,0.000298,0.000055,0.000007,0.00104
396,0.000076,0.000014,0.000229,0.000069,0.000007,0.000929
398,0.000097,0.000014,0.000222,0.000069,0.000014,0.000777
400,0.000055,0.000021,0.000208,0.000049,0.000007,0.000721
402,0.000083,0.000014,0.000284,0.000028,0.000021,0.000673
404,0.000055,0.000028,0.000222,0.000055,0.000014,0.000534
406,0.000062,0.000021,0.000298,0.000049,0,0.000527
408,0.000035,0.000021,0.000118,0.000014,0.000007,0.000479
410,0.000014,0.000014,0.00025,0.000035,0,0.000375
412,0.000069,0.000007,0.000236,0.000049,0.000007,0.000326
414,0.000021,0,0.000215,0.000049,0,0.000347
416,0.000069,0.000055,0.000222,0.000021,0,0.000236
418,0.000042,0.000035,0.000243,0.000014,0.000007,0.000229
420,0.000083,0.000014,0.000257,0.000028,0.000007,0.000222
422,0.000042,0.000014,0.00018,0.000049,0,0.000132
424,0.000021,0.000007,0.000166,0.000021,0.000014,0.000111
426,0.000055,0.000021,0.000208,0.000042,0.000007,0.00009
428,0.000055,0.000021,0.000146,0.000014,0,0.000062
430,0.000035,0.000014,0.000187,0.000021,0.000014,0.000055
432,0.000042,0.000021,0.000132,0.000028,0.000028,0.000062
434,0.000021,0.000042,0.000208,0.000007,0.000007,0.000014
436,0.000049,0.000021,0.000125,0.000028,0,0.000014
438,0.000049,0.000021,0.000132,0.000028,0.000007,0.000028
440,0.000042,0.000007,0.000125,0.000028,0,0.000014
442,0.000007,0.000021,0.000118,0.000021,0.000014,0.000062
444,0.000028,0.000007,0.000146,0,0,0.000021
446,0.000042,0.000014,0.00016,0.000028,0.000021,0.000042
448,0.000028,0.000021,0.000104,0.000028,0.000014,0.000007
450,0.000021,0,0.000132,0.000021,0.000014,0.000007
452,0.000049,0.000007,0.000132,0.000035,0.000007,0.000014
454,0.000042,0.000007,0.000125,0.000028,0.000021,0.000007
456,0.000055,0.000007,0.000118,0,0.000007,0.000007
458,0.000062,0.000035,0.000146,0.000028,0,0.000007
460,0.000042,0.000021,0.000104,0.000028,0.000007,0.000014
462,0.000035,0,0.00009,0.000028,0.000014,0.000014
464,0.000028,0.000028,0.000146,0.000021,0.000007,0.000035
466,0.000021,0.000007,0.000104,0.000014,0.000007,0.000028
468,0.000035,0.000007,0.000104,0,0.000007,0.000028
470,0.000028,0.000028,0.000069,0.000028,0.000007,0.000028
472,0.000021,0.000028,0.000083,0.000035,0,0.000021
474,0.000021,0.000028,0.000118,0.000049,0,0.000021
476,0.000028,0.000035,0.000055,0.000014,0.000014,0.000021
478,0.000042,0.000021,0.000097,0.000035,0.000021,0.000021
480,0.000035,0.000007,0.000097,0.000014,0.000007,0.000049
482,0.000055,0.000042,0.000146,0.000014,0.000021,0.000035
484,0.000021,0.000021,0.000132,0.000021,0.000014,0.000035
486,0.000021,0.000021,0.000153,0.000049,0.000028,0.000007
488,0.000028,0.000028,0.000111,0.000035,0.000035,0.000014
490,0.000021,0.000042,0.000097,0.000007,0.000021,0.000007
492,0.000042,0.000014,0.000076,0.000021,0.000035,0.000035
494,0.000055,0.000007,0.000076,0.000035,0.000014,0.000028
496,0.000014,0.000028,0.000125,0.000028,0.000028,0.000014
498,0.000035,0.000014,0.000097,0.000042,0.000055,0.000049
500,0.000035,0.000021,0.000076,0.000021,0.000035,0.000021
502,0.000055,0.000014,0.000076,0.000042,0.000042,0.000049
504,0.000055,0.000035,0.000153,0.000028,0.000014,0.000021
506,0.000069,0.000035,0.000083,0.000021,0.000028,0.000042
508,0.000069,0.000028,0.000104,0.000035,0.000028,0.000042
510,0.000055,0.000028,0.000132,0.000049,0.000035,0.000028
512,0.000042,0.000028,0.000111,0.000035,0.000049,0.000042
514,0.000042,0.000014,0.00016,0.000014,0.000007,0.000055
516,0.000062,0.000049,0.000173,0.000042,0.000007,0.000014
518,0.000049,0.000035,0.000083,0.000028,0.000042,0.000014
520,0.000042,0.000021,0.00009,0.000035,0.000028,0.000042
522,0.000035,0.000035,0.000125,0.000035,0.000042,0.000014
524,0.000055,0.000028,0.000097,0.000028,0.000049,0.000042
526,0.000049,0.000014,0.000139,0.000049,0.000049,0.000035
528,0.000028,0.000021,0.000083,0.000007,0.000042,0.000042
530,0.000035,0.000049,0.000111,0.000035,0.000042,0.000021
532,0.000049,0.000021,0.000139,0.000021,0.000028,0.000035
534,0.000069,0.000021,0.000139,0.000062,0.000083,0.000049
536,0.000055,0.000035,0.000173,0.000021,0.000042,0.000035
538,0.000055,0.000035,0.000132,0.000042,0.000028,0.000042
540,0.000049,0.000035,0.000104,0.000028,0.000055,0.000055
542,0.000042,0.000028,0.000153,0.000055,0.000028,0.000062
544,0.000042,0.000042,0.000132,0.000035,0.000035,0.000042
546,0.00009,0.000042,0.000111,0.000035,0.000042,0.000055
548,0.000035,0.000035,0.000125,0.000042,0.000062,0.000049
550,0.000062,0,0.000153,0.000049,0.000035,0.000062
552,0.000069,0.000028,0.000153,0.000069,0.000062,0.000055
554,0.000076,0.000021,0.000201,0.000055,0.000097,0.000062
556,0.000035,0.000055,0.000118,0.000049,0.000055,0.000083
558,0.000049,0.000055,0.000104,0.000028,0.000076,0.000069
560,0.000055,0.000055,0.000201,0.000062,0.000049,0.00009
562,0.000042,0.000021,0.000111,0.000028,0.000042,0.000118
564,0.000028,0.000021,0.000125,0.000055,0.000042,0.000062
566,0.000028,0.000069,0.00016,0.000076,0.000021,0.000049
568,0.000007,0.000069,0.000125,0.000069,0.000049,0.000055
570,0.000028,0.000049,0.000173,0.000049,0.000055,0.000062
572,0.000007,0.000042,0.000118,0.000055,0.000069,0.000083
574,0.000042,0.000028,0.000132,0.000062,0.000049,0.000111
576,0.000028,0.000083,0.000173,0.000076,0.000083,0.000083
578,0.000028,0.000062,0.000173,0.000042,0.000062,0.000104
580,0.000035,0.000049,0.000139,0.000049,0.000069,0.000153
582,0.000014,0.000014,0.000083,0.000083,0.000055,0.000097
584,0.00009,0.000055,0.000215,0.000055,0.000028,0.000055
586,0.000035,0.000062,0.000153,0.000097,0.000097,0.000132
588,0.000014,0.000042,0.000153,0.000097,0.000062,0.000062
590,0.000055,0.000049,0.000166,0.000062,0.000042,0.000083
592,0.000035,0.000042,0.000187,0.000104,0.000055,0.000146
594,0.000028,0.000042,0.000132,0.000069,0.000083,0.000104
596,0.000021,0.000049,0.00016,0.000055,0.000049,0.000069
598,0.000014,0.000042,0.00016,0.000118,0.000118,0.000118
600,0.000028,0.000055,0.000125,0.000104,0.000062,0.000104
602,0.000021,0.000042,0.000187,0.000042,0.000035,0.000069
604,0.000021,0.000042,0.000166,0.000076,0.000035,0.000097
606,0.000042,0.000049,0.00018,0.000069,0.000062,0.00009
608,0.000021,0.000062,0.000125,0.000049,0.000042,0.000083
610,0.000049,0.000042,0.000069,0.000062,0.000055,0.00009
612,0.000042,0.000055,0.000125,0.000049,0.000069,0.000083
614,0.000014,0.000028,0.00016,0.000042,0.000049,0.00009
616,0.000035,0.000049,0.000125,0.000069,0.000069,0.000104
618,0.000028,0.000021,0.000104,0.000042,0.000021,0.000097
620,0.000021,0.000021,0.000146,0.000062,0.000055,0.000125
622,0.000042,0.000028,0.000153,0.000062,0.000076,0.000111
624,0.000021,0.000049,0.000125,0.000035,0.000042,0.000111
626,0.000055,0.000021,0.000194,0.000035,0.000069,0.000069
628,0.000049,0.000062,0.000125,0.000042,0.000083,0.000076
630,0.000042,0.000055,0.000146,0.000049,0.000076,0.000076
632,0.000014,0.000021,0.000076,0.000042,0.000083,0.000111
634,0.000035,0.000055,0.000125,0.000062,0.000062,0.000069
636,0.000055,0.000021,0.000055,0.000055,0.000069,0.000062
638,0.000069,0.000049,0.000097,0.000069,0.000069,0.000042
