overflow 1ms,,
,over 300us,over 1ms
507,0.064912,0.002441
508,0.060244,0.000153
509,0.062013,0.004376
510,0.075573,0.008684
511,0.058087,0.000208
512,0.075226,0.007928
513,0.050146,0.000153
514,0.070364,0.004286
515,0.060959,0.000146
516,0.091359,0.013039
517,0.061195,0.000215
518,0.068366,0.002871
519,0.05419,0.000201
520,0.081503,0.008933
521,0.077744,0.013435
522,0.068026,0.000187
523,0.091005,0.00267
524,0.092413,0.008954
525,0.119983,0.017346
526,0.098294,0.008795
527,0.084811,0.00989
528,0.07877,0.004696
529,0.101124,0.015162
530,0.076433,0.005237
531,0.079172,0.004959
532,0.083486,0.004356
533,0.07773,0.004952
534,0.107519,0.016549
535,0.085165,0.004321
536,0.127425,0.016854
537,0.094785,0.011312
538,0.081683,0.006076
539,0.073617,0.001907
540,0.081919,0.008725
541,0.067492,0.000784
542,0.111646,0.013684
543,0.09733,0.008365
544,0.083632,0.010445
545,0.084173,0.006291
546,0.103094,0.018151
547,0.137059,0.035844
548,0.249773,0.091802
549,0.243572,0.096699
550,0.364886,0.160717
551,0.311099,0.133188
552,0.384542,0.174782
553,0.545294,0.261674
554,0.787839,0.400696
555,0.798784,0.407049
556,0.801079,0.408304
557,0.80495,0.416038
558,0.631152,0.320601
559,0.4216,0.204738
560,0.37977,0.17402
561,0.276697,0.119171
562,0.214171,0.082467
563,0.141421,0.046713
564,0.170149,0.059953
565,0.101859,0.026939
566,0.080518,0.013629
567,0.07318,0.008587
568,0.069344,0.005084
569,0.075621,0.009148
570,0.060279,0.000673
571,0.06519,0.0012
572,0.093328,0.004737
573,0.097233,0.005639
574,0.094813,0.008455
575,0.083639,0.004917
576,0.089423,0.004592
577,0.065772,0.001325
578,0.059343,0.001297
579,0.058968,0.000548
580,0.062499,0.000964
581,0.117111,0.009134
582,0.145624,0.026592
583,0.058975,0.001984
584,0.064857,0.004924
585,0.062568,0.000541
586,0.069108,0.005542
587,0.068047,0.000631
588,0.059849,0.000673
