,0,400,800,1200,1600,2000
348,0.000423,0.000603,0.000465,0.001852,0.000825,0.001006
350,0.000506,0.000631,0.00061,0.00172,0.000971,0.001061
352,0.000319,0.000506,0.000472,0.001838,0.001103,0.001179
354,0.000409,0.000576,0.00052,0.001776,0.001165,0.00104
356,0.000451,0.000562,0.000527,0.00147,0.000985,0.001214
358,0.000666,0.000583,0.000562,0.001311,0.000929,0.001068
360,0.000645,0.000832,0.000541,0.001665,0.000943,0.001006
362,0.00077,0.00086,0.000617,0.001581,0.000818,0.001151
364,0.000596,0.000652,0.000694,0.001893,0.000756,0.000888
366,0.000603,0.000721,0.000624,0.00197,0.000853,0.000818
368,0.000548,0.00059,0.00052,0.001796,0.000853,0.00086
370,0.000742,0.000603,0.000666,0.001817,0.000735,0.00077
372,0.000694,0.000881,0.000791,0.001942,0.000888,0.00102
374,0.000888,0.000943,0.000638,0.002011,0.000929,0.000867
376,0.000742,0.000707,0.000499,0.002233,0.000832,0.000811
378,0.00077,0.000832,0.00059,0.002656,0.00095,0.000978
380,0.000742,0.000985,0.000791,0.002795,0.000929,0.000957
382,0.00077,0.000728,0.000624,0.002226,0.000846,0.000916
384,0.000652,0.000818,0.000527,0.002344,0.000798,0.000888
386,0.000735,0.000687,0.00052,0.002414,0.000853,0.000888
388,0.000694,0.000728,0.000492,0.002074,0.000867,0.000895
390,0.000652,0.000707,0.000576,0.002379,0.000742,0.000888
392,0.000673,0.000763,0.00043,0.002115,0.000853,0.00077
394,0.00059,0.000701,0.00061,0.002018,0.000805,0.000735
396,0.000673,0.000701,0.000645,0.001665,0.000936,0.000673
398,0.00059,0.000645,0.000437,0.001672,0.00068,0.000645
400,0.000624,0.000527,0.00043,0.001644,0.000784,0.000742
402,0.000569,0.000492,0.00059,0.001859,0.000666,0.000652
404,0.000576,0.000492,0.000534,0.001651,0.000846,0.000638
406,0.00052,0.00052,0.000555,0.001526,0.00077,0.000513
408,0.000499,0.000513,0.000486,0.0012,0.000555,0.000631
410,0.000451,0.000458,0.000395,0.000957,0.000576,0.000479
412,0.000437,0.000312,0.000416,0.000673,0.000451,0.000437
414,0.000333,0.000437,0.00027,0.000645,0.000402,0.000513
416,0.00043,0.000361,0.000326,0.000596,0.000486,0.000499
418,0.000402,0.000395,0.000423,0.000666,0.000409,0.00061
420,0.000402,0.000354,0.000402,0.000541,0.000506,0.000409
422,0.000416,0.000375,0.000312,0.000479,0.000437,0.000388
424,0.000333,0.000319,0.000395,0.000361,0.000347,0.000423
426,0.000319,0.000257,0.000243,0.000381,0.000423,0.000409
428,0.000215,0.000201,0.000277,0.000347,0.000354,0.000388
430,0.000284,0.000215,0.000264,0.000333,0.000291,0.000354
432,0.000153,0.000153,0.000166,0.000319,0.000264,0.000361
434,0.000277,0.000208,0.000243,0.000444,0.000305,0.00034
436,0.000388,0.000319,0.000347,0.000673,0.000423,0.000423
438,0.000257,0.000291,0.000194,0.000472,0.000375,0.000444
440,0.00018,0.000194,0.000194,0.000645,0.000277,0.000395
442,0.000264,0.000319,0.000375,0.000853,0.000465,0.000402
444,0.000319,0.000305,0.000326,0.000964,0.000326,0.000444
446,0.000222,0.000291,0.000333,0.001054,0.000562,0.000555
448,0.000236,0.000312,0.000312,0.000978,0.00043,0.000492
450,0.000291,0.00034,0.000236,0.001096,0.000451,0.000437
452,0.000187,0.00027,0.00018,0.001193,0.00059,0.000492
454,0.000298,0.00025,0.000354,0.001193,0.000499,0.000458
456,0.000347,0.000375,0.000333,0.001096,0.000499,0.000492
458,0.000354,0.00034,0.000368,0.001221,0.000444,0.00052
460,0.000409,0.000465,0.000409,0.001172,0.000673,0.000583
462,0.000472,0.000354,0.000388,0.000985,0.000534,0.000479
464,0.000423,0.000423,0.000347,0.000888,0.000603,0.000555
466,0.000368,0.000368,0.000423,0.000714,0.000492,0.000423
468,0.000388,0.00052,0.000444,0.000756,0.000596,0.000562
470,0.00034,0.000437,0.000437,0.00068,0.000479,0.000548
472,0.000527,0.000444,0.00027,0.00068,0.000527,0.000437
474,0.000298,0.000347,0.000361,0.000506,0.000479,0.000486
476,0.000277,0.00027,0.000236,0.000375,0.000388,0.000361
478,0.000284,0.00034,0.000243,0.000402,0.000409,0.000319
480,0.000388,0.000319,0.000423,0.000347,0.000326,0.000388
482,0.00025,0.000354,0.000319,0.000354,0.000423,0.000444
484,0.000208,0.000187,0.000194,0.000243,0.000229,0.000305
486,0.00018,0.00025,0.000222,0.00025,0.000298,0.000264
488,0.000166,0.000215,0.000194,0.000222,0.000333,0.000298
490,0.000166,0.00018,0.000222,0.000312,0.000264,0.000277
492,0.000236,0.000187,0.000194,0.000305,0.000264,0.000319
494,0.000194,0.000187,0.000215,0.00027,0.000236,0.000215
496,0.000187,0.000125,0.000166,0.000166,0.000222,0.000243
498,0.000166,0.000139,0.000097,0.000264,0.000187,0.000277
500,0.000132,0.000146,0.000139,0.000187,0.000208,0.000298
502,0.000104,0.00009,0.000097,0.000173,0.000229,0.00025
504,0.000173,0.000055,0.000118,0.00016,0.000166,0.000284
506,0.000055,0.000055,0.000069,0.000264,0.000118,0.000264
508,0.000021,0.000021,0.000042,0.000402,0.000243,0.000305
510,0.000035,0.000014,0.000028,0.000978,0.000104,0.000153
512,0.000028,0.000021,0.000014,0.001831,0.000194,0.000208
514,0.000014,0.000049,0.000021,0.002025,0.000139,0.000201
516,0.000007,0.000028,0.000007,0.001977,0.000222,0.000243
518,0,0.000042,0.000028,0.00181,0.000208,0.000229
520,0,0.000125,0.000007,0.002337,0.000319,0.000208
522,0,0.000236,0.000028,0.003163,0.000423,0.000333
524,0.000021,0.000201,0.000028,0.003433,0.000472,0.000333
526,0.000021,0.00016,0.000014,0.002878,0.000499,0.00027
528,0.000014,0.000076,0,0.001699,0.000472,0.000222
530,0.000007,0.000014,0.000014,0.000943,0.000305,0.00025
532,0,0.000007,0,0.000617,0.00018,0.000201
534,0.000007,0,0.000007,0.000423,0.000118,0.000229
536,0,0.000021,0.000007,0.000173,0.000097,0.000215
538,0,0.000007,0.000007,0.000132,0.000132,0.000187
540,0,0.000007,0.000007,0.000111,0.000173,0.000194
542,0,0.000007,0.000007,0.000139,0.000118,0.00016
544,0,0.000007,0,0.000042,0.000125,0.000201
546,0,0,0.000014,0.000076,0.000111,0.000284
548,0,0.000007,0.000014,0.000042,0.000153,0.000215
550,0,0.000007,0.000007,0.000083,0.000125,0.000208
552,0.000014,0.000007,0.000014,0.000055,0.00016,0.00018
554,0,0.000007,0.000014,0.000069,0.000069,0.000208
556,0,0.000007,0.000014,0.000111,0.000055,0.000146
558,0.000014,0,0.000007,0.000021,0.000097,0.000194
560,0.000007,0,0,0.000042,0.00009,0.000187
562,0,0,0.000014,0.000049,0.00009,0.000187
564,0.000007,0,0.000014,0.000028,0.000097,0.000153
566,0,0,0,0.000069,0.000069,0.000215
568,0.000007,0,0.000014,0.000049,0.000062,0.000153
570,0,0,0.000021,0.000069,0.000097,0.00018
572,0.000007,0.000007,0,0.000083,0.000076,0.000166
574,0.000007,0,0.000028,0.000055,0.000153,0.000173
576,0,0,0.000014,0.000069,0.000062,0.000194
578,0,0.000007,0,0.000042,0.000083,0.000153
580,0.000007,0,0,0.000014,0.00009,0.000194
582,0,0,0.000014,0.000049,0.000062,0.00018
584,0.000007,0,0,0.000049,0.000111,0.000146
586,0,0,0,0.000042,0.00009,0.000173
588,0,0,0.000007,0.000055,0.000111,0.000229
590,0,0,0,0.000062,0.000028,0.000118
592,0,0,0,0.000049,0.000049,0.000132
594,0,0,0.000007,0.000042,0.000097,0.000139
596,0.000021,0.000007,0.000014,0.000049,0.000083,0.00016
598,0,0,0,0.000055,0.000062,0.000111
600,0,0,0.000014,0.000042,0.000062,0.000125
602,0,0,0.000021,0.000035,0.000097,0.000146
604,0.000007,0.000007,0,0.000021,0.000069,0.000166
606,0,0,0,0.000028,0.000062,0.000187
608,0.000007,0,0.000014,0.000049,0.000062,0.000194
610,0,0,0,0.000062,0.000055,0.000104
612,0,0.000007,0,0.000049,0.000104,0.000153
614,0.000014,0,0,0.000014,0.000035,0.000194
616,0.000007,0.000007,0.000007,0.000083,0.000062,0.000118
618,0,0,0,0.000042,0.000055,0.000132
620,0,0,0,0.000042,0.000055,0.00018
622,0.000007,0,0.000007,0.000055,0.000076,0.000118
624,0.000007,0,0.000007,0.000035,0.000076,0.000132
626,0,0.000007,0,0.000042,0.000076,0.000187
628,0,0.000007,0.000007,0.000028,0.000042,0.000146
630,0.000007,0.000007,0.000007,0.000014,0.000062,0.000146
632,0.000028,0.000007,0,0.000062,0.00009,0.000132
634,0,0.000007,0,0.000035,0.00009,0.000125
636,0,0,0.000014,0.000049,0.000076,0.000153
638,0,0,0.000007,0.000042,0.000069,0.000132
640,0,0.000007,0,0.000055,0.000069,0.000146
642,0,0.000014,0,0.000083,0.000104,0.000097
644,0,0,0.000007,0.000062,0.000062,0.00009
646,0.000007,0,0.000007,0.000062,0.000062,0.00009
648,0,0,0,0.000014,0.000104,0.00009
650,0,0,0.000007,0.000035,0.000055,0.000146
652,0,0,0,0.000021,0.000097,0.000055
654,0,0.000007,0,0.000055,0.000062,0.000153
656,0,0,0.000021,0.000007,0.000035,0.000125
