,over 400us,over 1ms,over 1.5ms,over 2ms
1030,1.270024,0.264636,0.203448,0.155487
1035,1.269906,0.25693,0.198871,0.152664
1040,1.320974,0.2754,0.208997,0.159954
1045,1.272909,0.268492,0.204322,0.154419
1050,1.285615,0.271121,0.207866,0.158726
1055,1.28239,0.27712,0.212728,0.164337
1060,1.290734,0.280505,0.215308,0.164975
1065,1.296782,0.280984,0.215766,0.165003
1070,1.299792,0.287177,0.220039,0.167715
1075,1.295984,0.283793,0.213464,0.160613
1080,1.310016,0.286546,0.210516,0.154107
1085,1.295041,0.291422,0.221176,0.167542
1090,1.305292,0.296672,0.225983,0.173132
1095,1.307914,0.29584,0.218201,0.160918
1100,1.308226,0.298857,0.222362,0.164656
1105,1.311861,0.301264,0.222466,0.163207
1110,1.320461,0.308089,0.227314,0.167424
1115,1.323943,0.309303,0.229534,0.170018
1120,1.320066,0.309414,0.229437,0.168686
1125,1.325108,0.311127,0.226995,0.164608
1130,1.33255,0.313825,0.227037,0.165447
1135,1.338695,0.319824,0.238058,0.178153
1140,1.339777,0.324714,0.243489,0.184035
1145,1.342468,0.330963,0.246034,0.184347
1150,1.350701,0.330332,0.240118,0.176711
1155,1.366154,0.333897,0.245035,0.180997
1160,1.36519,0.34102,0.249474,0.183057
1165,1.368484,0.344398,0.251326,0.184416
1170,1.359586,0.348871,0.261369,0.197567
1175,1.406583,0.358346,0.262791,0.193253
1180,1.37773,0.355273,0.26114,0.193044
1185,1.399224,0.363901,0.269366,0.20091
1190,1.385817,0.362147,0.271391,0.205085
1195,1.395721,0.364845,0.270407,0.201291
1200,1.408234,0.372953,0.280678,0.213533
1205,1.401984,0.370837,0.276004,0.207069
1210,1.40136,0.381608,0.287802,0.220552
1215,1.411584,0.390348,0.296062,0.22979
1220,1.406951,0.388912,0.292872,0.224942
1225,1.414927,0.393344,0.299169,0.231538
1230,1.415371,0.398892,0.299918,0.231219
1235,1.417271,0.396534,0.298087,0.227405
1240,1.446873,0.405454,0.28982,0.211473
1245,1.42359,0.403103,0.298913,0.225782
1250,1.432564,0.406668,0.303733,0.232079
1255,1.427744,0.409296,0.30202,0.225671
1260,1.448149,0.419429,0.309296,0.233127
1265,1.444494,0.420615,0.30983,0.23226
1270,1.44704,0.425769,0.316516,0.240603
1275,1.458518,0.436894,0.328217,0.252242
1280,1.469179,0.445016,0.335555,0.26001
1285,1.475046,0.445106,0.337011,0.261744
1290,1.460169,0.439446,0.324839,0.245056
1295,1.478493,0.455725,0.345036,0.267667
1300,1.477932,0.452569,0.337899,0.257721
1305,1.492733,0.458762,0.341159,0.258831
1310,1.488523,0.464263,0.347443,0.266529
1315,1.492206,0.463513,0.341284,0.256056
1320,1.504537,0.478335,0.358401,0.274138
1325,1.503351,0.474978,0.351077,0.265357
1330,1.501604,0.477011,0.353622,0.26886
1335,1.516086,0.484834,0.354156,0.264012
1340,1.518354,0.487664,0.356855,0.266543
1345,1.527869,0.497048,0.373147,0.289646
1350,1.530068,0.502555,0.377378,0.290451
1355,1.536442,0.505427,0.367654,0.272605
1360,1.541304,0.511253,0.377121,0.283474
1365,1.556417,0.521102,0.390979,0.301084
1370,1.562008,0.526893,0.397221,0.306937
1375,1.560586,0.526775,0.395695,0.306126
1380,1.556667,0.521677,0.388974,0.297193
1385,1.573736,0.544038,0.410989,0.320525
1390,1.572175,0.537033,0.395556,0.297581
1395,1.58706,0.554199,0.416572,0.322522
1400,1.586283,0.551938,0.412861,0.319103
1405,1.59102,0.554789,0.414873,0.31816
1410,1.594745,0.557993,0.41549,0.314997
1415,1.611592,0.574452,0.433135,0.335735
1420,1.611987,0.571053,0.428196,0.329659
1425,1.610225,0.571012,0.415212,0.309434
1430,1.622294,0.581776,0.429875,0.32436
1435,1.630526,0.592402,0.442935,0.339751
1440,1.642026,0.598346,0.444308,0.338523
1445,1.641596,0.60173,0.448255,0.340403
1450,1.649336,0.607494,0.448615,0.338301
1455,1.661037,0.61814,0.465393,0.36216
1460,1.662431,0.620415,0.466572,0.361432
1465,1.66592,0.621664,0.46017,0.348996
1470,1.67674,0.63453,0.480333,0.374853
1475,1.682177,0.63892,0.476456,0.363527
1480,1.691048,0.647569,0.482095,0.368021
1485,1.704719,0.655414,0.485396,0.368195
1490,1.700197,0.655823,0.484966,0.365795
1495,1.702291,0.653201,0.477128,0.360829
1500,1.704975,0.652223,0.475845,0.361085
1505,1.726768,0.672989,0.49752,0.378661
1510,1.737005,0.683615,0.506724,0.383287
1515,1.736561,0.687138,0.510483,0.388787
1520,1.747069,0.698582,0.522967,0.40184
1525,1.748255,0.693692,0.510517,0.385701
1530,1.759845,0.708604,0.528675,0.403248
1535,1.76332,0.702903,0.517391,0.393281
1540,1.765594,0.714451,0.527233,0.401424
1545,1.787463,0.728656,0.537831,0.409893
1550,1.780555,0.723981,0.531901,0.406224
1555,1.804213,0.743041,0.553797,0.42536
1560,1.801092,0.743214,0.551855,0.421864
1565,1.799649,0.741633,0.547548,0.419145
1570,1.797721,0.743887,0.550107,0.422127
1575,1.812356,0.759215,0.565401,0.433308
1580,1.833545,0.764195,0.56762,0.435181
1585,1.830618,0.772164,0.576352,0.442283
1590,1.839801,0.783421,0.592721,0.459269
1595,1.850024,0.786327,0.588913,0.454511
1600,1.854949,0.788956,0.590127,0.453262
1605,1.856447,0.800129,0.600586,0.463049
1610,1.874764,0.812648,0.615352,0.477094
1615,1.888941,0.818648,0.61314,0.473113
1620,1.889877,0.825292,0.622205,0.479944
1625,1.899199,0.834968,0.639607,0.504594
1630,1.902757,0.835953,0.624584,0.481699
1635,1.906815,0.83469,0.620547,0.479639
1640,1.913251,0.842153,0.62819,0.486242
1645,1.924522,0.847064,0.630521,0.489655
1650,1.960435,0.881167,0.662301,0.515227
1655,2.008126,0.931813,0.703701,0.539121
1660,2.07215,0.99264,0.752425,0.55035
1665,2.027872,0.946142,0.717399,0.54607
1670,2.042264,0.957052,0.725923,0.549642
1675,1.978108,0.903237,0.679543,0.526685
1680,1.975666,0.893721,0.671969,0.522849
